crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.0222222222222222 0.0962962962962963 0 0.0592592592592593 0.0296296296296296 0.0518518518518519 0 0.037037037037037 0.0444444444444444 0.0444444444444444 0.614814814814815
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0608465608465608 0 0.285714285714284 0.037037037037037 0.0317460317460317 0.108465608465609 0.0132275132275132 0.142857142857143 0.0476190476190477 0.0423280423280424 0.230158730158731
ma 0.0161290322580645 0.32258064516129 0 0.17741935483871 0 0.0645161290322581 0 0.193548387096774 0.0483870967741935 0.0322580645161291 0.145161290322581
or 0 0.0168674698795181 0 0.00240963855421687 0 0.0120481927710847 0.00481927710843374 0.0554216867469879 0.0144578313253012 0.00963855421686747 0.88433734939759
ot 0.0149812734082397 0.172284644194757 0 0.0262172284644195 0.127340823970037 0.0973782771535581 0.00374531835205993 0.101123595505618 0.0449438202247191 0.123595505617978 0.288389513108614
po 0 0.0487804878048781 0 0 0 0.0487804878048777 0.024390243902439 0.0731707317073171 0 0.0243902439024391 0.780487804878049
sb 0.0239043824701193 0.171314741035857 0 0.0358565737051793 0.0717131474103586 0.0796812749003984 0.0159362549800797 0.143426294820717 0.0199203187250996 0.195219123505976 0.243027888446215
sw 0.0493273542600897 0.0538116591928251 0 0.00896860986547085 0.062780269058296 0.112107623318386 0.0224215246636772 0.174887892376681 0.0941704035874439 0.2152466367713 0.20627802690583
wb 0.0154142581888247 0.0616570327552987 0 0.0154142581888247 0.450867052023121 0.0481695568400771 0.0115606936416185 0.0616570327552987 0.0269749518304432 0.200385356454721 0.107899807321773
ww 0.0567514677103718 0.0440313111545988 0 0.0146771037181997 0.098825831702544 0.060665362035225 0.025440313111546 0.0939334637964775 0.0293542074363992 0.2573385518591 0.318982387475538
