crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.0148514851485149 0.0800330033003296 0 0.0115511551155116 0.0148514851485149 0.0486798679867987 0.00495049504950495 0.104785478547855 0.0338283828382838 0.0635313531353135 0.622937293729373
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.038949542637946 0 0.419297727943347 0.0202124520507524 0.0303924461493065 0.0829153142519912 0.00634405429330186 0.103127766302744 0.0311301268810858 0.0668338742992032 0.200796695190322
ma 0.0238726790450935 0.352785145888594 0 0.0344827586206897 0.0026525198938992 0.122015915119363 0 0.140583554376658 0.0397877984084881 0.0185676392572944 0.26525198938992
or 0.000934754159656011 0.010095344924285 0 0.00280426247896803 0.000186950831931202 0.0100953449242849 0.000747803327724808 0.0315946905963732 0.0119648532435969 0.020377640680501 0.911198354832679
ot 0.0250154416306362 0.183446571957999 0 0.0135886349598518 0.106547251389747 0.127239036442248 0.00339715873996294 0.0877084620135886 0.0265596046942557 0.131562693020383 0.294935145151328
po 0 0.0523076923076923 0 0.00615384615384615 0 0.0307692307692308 0.00307692307692308 0.0646153846153846 0.0123076923076923 0.00923076923076879 0.821538461538462
sb 0.0229299363057325 0.174522292993631 0 0.029723991507431 0.0895966029723991 0.0777070063694267 0.00679405520169851 0.173673036093418 0.0547770700636943 0.159660297239915 0.210615711252654
sw 0.0677894736842105 0.0715789473684208 0 0.00926315789473684 0.064 0.0665263157894737 0.00842105263157895 0.163789473684211 0.0538947368421053 0.248842105263158 0.245894736842105
wb 0.0214492753623188 0.0840579710144927 0 0.00869565217391304 0.492173913043478 0.047536231884058 0.00521739130434783 0.0457971014492754 0.0197101449275363 0.154347826086957 0.121014492753623
ww 0.032847542097712 0.0365476100581439 0 0.0106471343351204 0.0868383296836064 0.0542928339500113 0.0124594125198218 0.0827607037680284 0.0307332175488938 0.268745752473005 0.384127463565657
