crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.0238095238095238 0.0714285714285721 0 0.0714285714285714 0.0238095238095238 0.333333333333333 0.0714285714285714 0.0952380952380952 0.119047619047619 0.0714285714285714 0.119047619047619
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.00448430493273554 0 0.500000000000001 0.100896860986547 0.00224215246636771 0.114349775784753 0.0627802690582958 0.114349775784753 0.0560538116591927 0.00672645739910325 0.038116591928251
ma 0 0.246575342465753 0 0.246575342465753 0 0.10958904109589 0.054794520547947 0.10958904109589 0.0684931506849315 0.0684931506849315 0.0958904109589041
or 0 0.0476190476190476 0 0 0.142857142857143 0.0952380952380952 0 0.285714285714286 0.0476190476190476 0 0.380952380952381
ot 0.0046189376443418 0.0831408775981524 0 0.0900692840646654 0.0023094688221709 0.482678983833718 0.092378752886836 0.0877598152424942 0.0831408775981524 0.0369515011547344 0.0369515011547344
po 0 0.0419161676646707 0 0.167664670658683 0 0.197604790419162 0.029940119760479 0.233532934131737 0.179640718562874 0.0359281437125748 0.11377245508982
sb 0.0127659574468085 0.165957446808511 0 0.0893617021276596 0.00425531914893617 0.157446808510638 0.0893617021276592 0.221276595744681 0.165957446808511 0.0595744680851064 0.0340425531914894
sw 0 0.0967741935483871 0 0.116129032258064 0.032258064516129 0.232258064516129 0.0516129032258065 0.245161290322581 0.0967741935483871 0.0838709677419355 0.0451612903225806
wb 0.00943396226415094 0.150943396226415 0 0.0849056603773585 0.0754716981132075 0.10377358490566 0.0471698113207547 0.160377358490566 0.0943396226415094 0.216981132075472 0.0566037735849057
ww 0.00578034682081036 0.0751445086705202 0 0.0751445086705202 0.00578034682080925 0.15606936416185 0.104046242774566 0.167630057803468 0.104046242774566 0.104046242774566 0.202312138728324
