crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.0104712041884817 0.0759162303664921 0 0.0994764397905759 0.0261780104712042 0.159685863874346 0.0680628272251309 0.0785340314136123 0.12565445026178 0.0680628272251309 0.287958115183246
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0123668842322226 0 0.367227756784612 0.139127447612504 0.00515286843009274 0.130539333562349 0.0559945036070078 0.0979045001717621 0.0601167983510819 0.0477499141188595 0.0838199931295086
ma 0.00779896013864818 0.0996533795493934 0 0.525996533795494 0.00173310225303293 0.104852686308492 0.0311958405545927 0.0459272097053726 0.0545927209705373 0.024263431542461 0.103986135181976
or 0 0.040084388185654 0 0.0253164556962025 0.00843881856540084 0.0801687763713082 0.0232067510548523 0.0464135021097046 0.0759493670886076 0.105485232067511 0.594936708860759
ot 0.0136674259681093 0.107972665148064 0 0.124373576309795 0.0186788154897494 0.347608200455581 0.0774487471526196 0.082004555808656 0.115717539863326 0.0432801822323462 0.069248291571754
po 0.00312825860271116 0.0583941605839416 0 0.144942648592284 0 0.18978102189781 0.0583941605839416 0.141814389989572 0.199165797705944 0.02711157455683 0.177267987486966
sb 0.0171606864274571 0.191107644305772 0 0.0904836193447738 0.0257410296411856 0.129485179407176 0.0585023400936037 0.197347893915757 0.108424336973479 0.106864274570983 0.0748829953198128
sw 0.00852618757612668 0.137637028014616 0 0.0791717417783191 0.02557856272838 0.190012180267966 0.0767356881851401 0.144945188794153 0.146163215590743 0.097442143727162 0.0937880633373942
wb 0.022238163558106 0.151362984218077 0 0.0566714490674319 0.115494978479197 0.104734576757532 0.0645624103299857 0.0853658536585366 0.0609756097560977 0.236728837876614 0.101865136298422
ww 0.0191313340227508 0.0915201654601861 0 0.0729058945191313 0.0573940020682523 0.0946225439503619 0.0646328852119952 0.0713547052740434 0.0791106514994829 0.207342295760083 0.241985522233713
