crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.0149750415973382 0.104825291181364 0 0.0732113144758735 0.0166389351081531 0.13477537437604 0.0232945091514143 0.108153078202995 0.119800332778702 0.0698835274542429 0.334442595673877
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.00613371498671028 0 0.691133374224767 0.0674027124650719 0.00402099093573229 0.0494104818373883 0.0147890683568453 0.0659033599127649 0.0273972602739727 0.0246030123355824 0.0492060246711647
ma 0.00920679886685552 0.14128895184136 0 0.494334277620396 0.00106232294617575 0.0803824362606232 0.0258498583569405 0.0485127478753541 0.0456798866855524 0.0254957507082153 0.128186968838527
or 0.005005005005005 0.0520520520520521 0 0.024024024024024 0.00800800800800801 0.0450450450450446 0.011011011011011 0.0570570570570571 0.0780780780780781 0.0880880880880881 0.631631631631632
ot 0.012117132278694 0.182093571188152 0 0.108044429485022 0.0316391787277011 0.281386738471895 0.0363513968360821 0.0955907101985863 0.0902053180747227 0.0528441602154157 0.109727364523729
po 0.00209643605870021 0.0807127882599581 0 0.168763102725367 0.00209643605870021 0.150943396226415 0.0607966457023063 0.0932914046121593 0.163522012578616 0.0587002096436059 0.219077568134172
sb 0.00730688935281837 0.27687891440501 0 0.0670668058455115 0.0174843423799585 0.103862212943633 0.0151356993736952 0.23643006263048 0.10464509394572 0.0968162839248434 0.07437369519833
sw 0.00909090909090909 0.197902097902098 0 0.0713286713286713 0.0153846153846154 0.128671328671329 0.0181818181818182 0.203496503496504 0.134965034965035 0.127272727272727 0.093706293706293
wb 0.0141426045963465 0.181496758986447 0 0.0450795521508544 0.124337065409546 0.0860341779611078 0.0250441956393636 0.120212139068945 0.0571596935769004 0.240718915733648 0.105774896876841
ww 0.0165597184847858 0.111364106810184 0 0.0780376733595529 0.063961912647485 0.0705858000413993 0.0393293314013662 0.0985303249844753 0.0714137859656386 0.17408404057131 0.276133305733803
