crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.0174672489082967 0.00873362445414847 0 0 0.0786026200873362 0 0.117903930131004 0.0262008733624454 0.122270742358079 0.244541484716157 0.00436681222707424 0.379912663755459
fb 0.013126491646778 0.0214797136038186 0.0250596658711217 0 0.0214797136038186 0.035799522673031 0.0871121718377088 0.0155131264916468 0.0906921241050119 0.105011933174224 0.0620525059665875 0.522673031026253
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.00964010282776349 0.0109254498714653 0 0.501285347043701 0.0456298200514139 0.0160668380462725 0.0784061696658098 0.0115681233933162 0.0520565552699229 0.060411311053985 0.0552699228791773 0.158740359897172
ma 0.0178571428571429 0.0214285714285714 0.158928571428571 0 0.160714285714286 0.00714285714285692 0.173214285714286 0.0339285714285714 0.0732142857142857 0.1 0.0303571428571429 0.223214285714286
or 0.000580720092915215 0.00116144018583043 0.00696864111498258 0 0.00232288037166086 0.0040650406504065 0.0348432055749129 0.000580720092915215 0.0383275261324042 0.0423925667828108 0.0255516840882693 0.843205574912892
ot 0.0136592379583034 0.0289959261921879 0.240354660915409 0 0.0443326144260724 0.072130361849988 0.139228372873233 0.0170141385094649 0.0476875149772346 0.067816918284208 0.0752456266474958 0.253534627366403
po 0.0255681818181818 0.00852272727272727 0.0170454545454545 0 0.03125 0 0.0681818181818182 0 0.0596590909090909 0.0852272727272727 0.0227272727272727 0.681818181818182
sb 0.0283757338551859 0.0371819960861057 0.107632093933464 0 0.0430528375733855 0.140900195694716 0.135029354207436 0.0322896281800391 0.098825831702544 0.0851272015655577 0.149706457925636 0.14187866927593
sw 0.0142679900744417 0.0477667493796526 0.0341191066997519 0 0.0204714640198507 0.107320099255583 0.127791563275434 0.0303970223325062 0.101736972704715 0.109181141439206 0.155707196029777 0.251240694789082
wb 0.0352193995381066 0.0421478060046189 0.0906466512702079 0 0.016743648960739 0.322748267898383 0.154157043879908 0.0311778290993072 0.0577367205542725 0.0554272517321016 0.1229792147806 0.0710161662817552
ww 0.0285351934051997 0.0403720143732826 0.0291693088142042 0 0.0147960262101037 0.130839146057916 0.133164235890932 0.0393151553582752 0.0786303107165504 0.0860283238216022 0.151976326358064 0.26717395899387
