crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.0386666666666667 0.0106666666666667 0.0213333333333333 0 0.0506666666666667 0 0.118666666666667 0.0493333333333333 0.178666666666667 0.249333333333333 0.0146666666666663 0.268
fb 0.0232399179767601 0.0355434039644566 0.037593984962406 0 0.0266575529733424 0.0280246069719754 0.0758714969241285 0.0225563909774436 0.0676691729323308 0.100478468899522 0.0731373889268626 0.509227614490772
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0236460717009917 0.0186880244088488 0 0.410373760488176 0.0553012967200608 0.0217391304347827 0.0819984744469871 0.0347063310450039 0.0728451563691839 0.0827612509534708 0.0560640732265447 0.14187643020595
ma 0.0453890489913545 0.0208933717579251 0.141210374639769 0 0.192363112391931 0.00144092219020173 0.138328530259366 0.0345821325648415 0.0814121037463977 0.0792507204610951 0.0295389048991354 0.235590778097983
or 0.00283687943262411 0 0.0117021276595745 0 0.00319148936170213 0.0024822695035461 0.0255319148936168 0.00390070921985816 0.0234042553191489 0.025177304964539 0.0315602836879433 0.870212765957447
ot 0.029222309505106 0.0218381775333857 0.228122545168892 0 0.0628436763550668 0.0611154752553024 0.144540455616654 0.0333071484681854 0.0603299293008641 0.0782403770620581 0.0677140612725844 0.212725844461901
po 0.0138376383763838 0.00276752767527697 0.0267527675276753 0 0.0285977859778598 0 0.0571955719557196 0.0138376383763838 0.0848708487084871 0.0811808118081181 0.0387453874538745 0.652214022140221
sb 0.0408997955010225 0.0460122699386503 0.107873210633947 0 0.0378323108384458 0.115030674846626 0.103783231083845 0.0439672801635976 0.110940695296524 0.132924335378323 0.143149284253579 0.11758691206544
sw 0.0277970813064628 0.0333564975677554 0.0639332870048645 0 0.0319666435024322 0.0681028492008339 0.102154273801251 0.0455177206393329 0.116052814454482 0.111188325225851 0.182765809589993 0.217164697706741
wb 0.0453381147540984 0.0356045081967213 0.0586577868852459 0 0.0343237704918033 0.325051229508197 0.0963114754098361 0.0512295081967213 0.0665983606557377 0.0594262295081967 0.163934426229508 0.0635245901639344
ww 0.0427541635595327 0.0354213273676361 0.031195625155356 0 0.0244842157593835 0.100049714143674 0.0953268704946557 0.0523241362167537 0.0755654983842903 0.06972408650261 0.227566492667164 0.245587869748944
