crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.00992555831265509 0.0086848635235732 0.0136476426799016 0 0.0186104218362283 0.00496277915632754 0.107940446650124 0.0260545905707196 0.165012406947891 0.202233250620347 0.0235732009925558 0.419354838709677
fb 0.00581549035157283 0.0163891091726143 0.0198255352894528 0 0.0129526830557758 0.0296061326989162 0.0576262225746762 0.00687285223367698 0.0481099656357389 0.0433518371662702 0.0621200105736188 0.697330161247687
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.00290915915915915 0.0083521021021021 0 0.655968468468469 0.0296546546546546 0.013231981981982 0.0503003003003003 0.00929054054054053 0.040822072072072 0.0326576576576576 0.0388513513513514 0.117961711711712
ma 0.0155038759689922 0.0140503875968992 0.172480620155039 0 0.112887596899225 0.00436046511627907 0.128391472868217 0.0208333333333333 0.0804263565891473 0.0673449612403101 0.0402131782945736 0.343507751937984
or 0.00238247961147256 0.000549802987262897 0.00678090350957574 0 0.00348208558599835 0.00109960597452579 0.0209841473472006 0.00155777513057821 0.0246495005956199 0.0185100339045175 0.0327132777421424 0.887290387611106
ot 0.00999398857829877 0.0224676886083559 0.243763149984971 0 0.0425308085362188 0.0665764953411482 0.144198978058311 0.0150285542530809 0.0654493537721671 0.0607153591824467 0.0649984971445747 0.264277126540427
po 0.00434572670207629 0.00289715113471753 0.012071463061323 0 0.012071463061323 0.00289715113471753 0.0386286817962337 0.00482858522452954 0.067600193143409 0.0535972959922743 0.0362143891839691 0.764847899565427
sb 0.0145917990395283 0.0432212781677133 0.15810860731437 0 0.0293683043960103 0.15903213889915 0.102327299593646 0.0319541928333949 0.111377909124492 0.0945696342814924 0.131326191355744 0.124122644994459
sw 0.0106451199179171 0.0445042965243042 0.0677183532127741 0 0.0270616903937412 0.0919584455559822 0.104270873412851 0.0361677568295498 0.108888033859177 0.0933692445812492 0.188534051558292 0.226882134154162
wb 0.0117006073597713 0.0350125044658808 0.0683279742765273 0 0.0218828152911754 0.441229010360843 0.0816362986780993 0.0313504823151125 0.0486780993211861 0.0425151839942837 0.140050017863523 0.0776170060735977
ww 0.0200984413453651 0.0443327864369702 0.0324377905386925 0 0.0174665025977577 0.118266338528849 0.0757793273174733 0.0414957615531857 0.0765313098167897 0.0611156685808039 0.201189499589828 0.311286573694285
