crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.0463786531130877 0.01143583227446 0.00952986022871665 0 0.0419313850063532 0.000635324015247776 0.181067344345616 0.0470139771283355 0.150571791613724 0.143583227445997 0.0641677255400254 0.303684879288437
fb 0.00423068358940135 0.0167000668002672 0.0207080828323313 0 0.0102427076374972 0.0405254954353151 0.0547762191048764 0.00400801603206413 0.0287241148964596 0.0567802271209085 0.0745936317078602 0.688710754843019
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0101115760111576 0.0268479776847978 0 0.454846582984658 0.052649930264993 0.0477684797768479 0.0868200836820084 0.00592747559274756 0.0353905160390515 0.0458507670850768 0.0604951185495125 0.173291492329149
ma 0.0160627568173328 0.0130743369443407 0.100859170713485 0 0.23982069480762 0.0018677624206201 0.110945087784834 0.0235338064998132 0.0399701158012701 0.0425849831901382 0.0885319387373926 0.322749346283153
or 0.0025155474809587 0.0032143106701139 0.00817552931311579 0 0.00419257913493117 0.000489134232408637 0.0238278247501922 0.00132765005939487 0.0189364824261058 0.0354971700090841 0.0635874502131228 0.838236321710572
ot 0.0244021473889702 0.0356271351878965 0.18033186920449 0 0.0456320156173743 0.113307304376118 0.181877338539125 0.026517000162681 0.0448999511957052 0.0675939482674475 0.0608426874898324 0.21896860257036
po 0.0690457719162143 0.00155159038013964 0.0155159038013964 0 0.0294802172226532 0.00155159038013964 0.140418929402638 0.034910783553142 0.030256012412723 0.030256012412723 0.0612878200155159 0.585725368502715
sb 0.0360526315789474 0.055 0.0723684210526314 0 0.0378947368421053 0.305526315789474 0.107105263157895 0.0131578947368421 0.0826315789473685 0.09 0.0860526315789474 0.114210526315789
sw 0.019730010384216 0.0776739356178597 0.0510903426791277 0 0.0288681204569055 0.227414330218069 0.104672897196262 0.0116303219106957 0.101557632398754 0.120249221183801 0.0782969885773624 0.178816199376947
wb 0.0239206534422404 0.0463827304550758 0.102246207701284 0 0.0351516919486581 0.403442240373396 0.0844515752625438 0.0112310385064177 0.0428821470245032 0.0603850641773629 0.0967036172695449 0.0932030338389732
ww 0.0334020770420564 0.0809457170214333 0.0344332326729027 0 0.0349119835015099 0.284267511232231 0.0869853428592472 0.0199602268542388 0.0707078146866023 0.0845179347425794 0.113022022538116 0.156846136849083
