crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.0835579514824798 0.0161725067385445 0.0170709793351303 0 0.0530098831985624 0.000449236298292902 0.236298292902066 0.077717879604673 0.110961365678347 0.108265947888589 0.0408805031446541 0.255615453728661
fb 0.0283261802575107 0.0137339055793991 0.0420600858369099 0 0.032618025751073 0.0188841201716738 0.0884120171673823 0.0351931330472103 0.0454935622317597 0.0472103004291846 0.0875536480686695 0.560515021459227
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.073122529644269 0.049407114624506 0 0.0816864295125156 0.158102766798419 0.0434782608695654 0.144268774703558 0.038866930171278 0.0994729907773379 0.0777338603425561 0.0737812911725957 0.1600790513834
ma 0.0634657836644592 0.0154525386313466 0.105960264900662 0 0.190949227373068 0.00165562913907285 0.167770419426049 0.0513245033112583 0.0557395143487859 0.0535320088300221 0.0469094922737307 0.247240618101545
or 0.0163478260869565 0.00347826086956522 0.0149565217391304 0 0.0100869565217391 0.00104347826086957 0.0549565217391304 0.0135652173913043 0.0264347826086957 0.0372173913043481 0.0664347826086956 0.755478260869565
ot 0.0878206935438399 0.0219904144347339 0.110093036368762 0 0.0670989568649563 0.0367916549196504 0.247815054976036 0.0889484071045954 0.0539892867211728 0.0435579362841838 0.0431350436989005 0.198759515083169
po 0.0836820083682008 0.0115062761506276 0.0135983263598326 0 0.0271966527196653 0.00156903765690377 0.164225941422594 0.0585774058577406 0.028765690376569 0.0282426778242678 0.0486401673640167 0.533995815899582
sb 0.0726164079822616 0.0315964523281596 0.0787139689578714 0 0.0631929046563193 0.197339246119734 0.132483370288248 0.057649667405765 0.102549889135255 0.0753880266075388 0.0759423503325942 0.112527716186253
sw 0.069364161849711 0.0592485549132948 0.0830924855491329 0 0.0527456647398844 0.135838150289017 0.165462427745665 0.0527456647398848 0.10621387283237 0.0773121387283237 0.0715317919075144 0.126445086705202
wb 0.101514531313958 0.0347932869422841 0.0683585755218994 0 0.0552599263200982 0.286942284076955 0.103970528039296 0.0433892754809661 0.0749079001227998 0.04625460499386 0.108882521489971 0.0757265656979124
ww 0.134879725085911 0.0613647520864016 0.0343642611683849 0 0.046759941089838 0.145925380461463 0.157093765341188 0.0768286696121749 0.0677466863033873 0.0470054000981836 0.0941335297005401 0.133897889052528
