crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.00698412698412698 0.0196825396825397 0.00571428571428571 0 0.046984126984127 0.000634920634919969 0.104761904761905 0.0165079365079365 0.201269841269841 0.193650793650794 0.0590476190476191 0.344761904761905
fb 0.00749414519906323 0.0161592505854803 0.0384074941451991 0 0.00866510538641686 0.0437939110070258 0.0597189695550351 0.00562060889929742 0.0365339578454333 0.051288056206089 0.0796252927400468 0.652693208430913
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.00471092077087863 0.0282655246252677 0 0.466095645967165 0.0759457530335475 0.04796573875803 0.078229835831549 0.00442541042112777 0.049536045681656 0.0396859386152748 0.0566738044254105 0.148465381870093
ma 0.0164095831965868 0.0216606498194946 0.129635707253036 0 0.204463406629472 0.00164095831965868 0.0905808992451592 0.011158516573679 0.0416803413193305 0.0472595996061696 0.0662947161142107 0.369215621923203
or 0.00362774857481306 0.00407196268601466 0.00858813948323092 0 0.00629303324202266 0.00125860664840453 0.0250980972828904 0.0024431776116088 0.0216924557636781 0.0339823795069227 0.0541941215665951 0.838750277633819
ot 0.0142888546933392 0.0402286216750935 0.171905913387558 0 0.0470433062211471 0.130358320510002 0.160255001099143 0.00857331281600352 0.0708947021323368 0.0678171026599253 0.0682567597274126 0.220378105078039
po 0.0229885057471264 0.00618921308576481 0.0106100795755968 0 0.026525198938992 0.00618921308576492 0.0636604774535809 0.0026525198938992 0.0548187444739169 0.0495137046861185 0.0671971706454465 0.689655172413793
sb 0.0334542523176139 0.0501813784764208 0.0729544538492543 0 0.0312374042724708 0.286174929463926 0.0941152760983474 0.0151148730350665 0.1136638452237 0.0894800483675937 0.103587263200323 0.110036275695284
sw 0.0257062865869178 0.0694833290913719 0.0610842453550522 0 0.0277424280987529 0.213540341053703 0.109188088572156 0.0119623313820311 0.117078136930517 0.106388393993383 0.0995164163909383 0.158310002545177
wb 0.0286166585484657 0.0418899171943497 0.0965660009741841 0 0.0371407696054554 0.420116902094496 0.0692888455918168 0.0119337554797857 0.0509011203117393 0.0403068679980516 0.117145640526059 0.0860935216755967
ww 0.0411265922079863 0.0766501064584812 0.0362332374584438 0 0.0361958836053939 0.245900414627769 0.0763886294871316 0.0215158193567666 0.0814687535019237 0.0752306600425834 0.138059840872586 0.171230062380934
