crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.00913705583756345 0.0203045685279188 0 0.0213197969543147 0.0263959390862944 0.0304568527918782 0 0.0071065989847709 0.0406091370558376 0.156345177664975 0.688324873096447
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0364130434782609 0 0.172282608695652 0.0733695652173915 0.0619565217391306 0.161956521739131 0.0114130434782609 0.0364130434782609 0.0576086956521737 0.0875000000000001 0.301086956521739
ma 0.0056710775047259 0.0831758034026465 0 0.24952741020794 0.00189035916824197 0.126654064272212 0.0207939508506616 0.0245746691871456 0.0283553875236295 0.128544423440454 0.330812854442343
or 0.00221336874723329 0.0128375387339522 0 0.00177069499778663 0.00132802124833997 0.0239043824701195 0.00177069499778663 0.0106241699867198 0.034971226206286 0.101372288623285 0.809207613988491
ot 0.0436681222707424 0.119541484716157 0 0.0747816593886463 0.0698689956331874 0.233624454148472 0.00818777292576419 0.0327510917030568 0.0584061135371179 0.10589519650655 0.253275109170306
po 0.0194805194805195 0.0584415584415584 0 0.0584415584415584 0.00649350649350649 0.0844155844155844 0.012987012987013 0.0324675324675323 0.0324675324675325 0.246753246753247 0.448051948051948
sb 0.0793650793650794 0.138095238095238 0 0.0492063492063492 0.236507936507937 0.0920634920634921 0 0.0444444444444444 0.0984126984126984 0.117460317460317 0.144444444444444
sw 0.0582306830907055 0.114221724524076 0 0.0470324748040314 0.135498320268757 0.083986562150056 0.00559910414333707 0.0492721164613662 0.123180291153415 0.0929451287793959 0.29003359462486
wb 0.067242442936459 0.119062307217767 0 0.0357803824799509 0.3571869216533 0.0962368908081431 0.00801974090067859 0.0339296730413325 0.0363972856261567 0.105490438001234 0.140653917334978
ww 0.102476515798463 0.0643894107600346 0 0.0524338172502135 0.2066609735269 0.0843723313407344 0.00990606319385141 0.0531169940222032 0.0997438087105038 0.147395388556789 0.179504696840307
