crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.00980392156862745 0.0674019607843137 0 0.0257352941176471 0.0196078431372549 0.0612745098039216 0.0134803921568627 0.0232843137254902 0.0294117647058824 0.127450980392157 0.622549019607843
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0461369461735628 0 0 0.220065909923106 0.0421091175393619 0.170267301354815 0.0626144269498352 0.0820212376418895 0.0552911021603809 0.0908092273892347 0.230684730867814
ma 0.00578034682080925 0.0953757225433526 0 0.305945499587118 0.00123864574731627 0.113542526837325 0.0305532617671346 0.0330305532617664 0.0359207266721718 0.10074318744839 0.277869529314616
or 0.0028123744475693 0.0245078344716754 0 0.0160707111289675 0.0160707111289671 0.0269184411410205 0.01727601446364 0.0180795500200884 0.00843712334270792 0.110084371233427 0.759742868621937
ot 0.0163064087978764 0.107318923018582 0 0.124762988244217 0.0758437618505877 0.22449753507774 0.0390595373530527 0.056124383769435 0.0565036025786879 0.0967007963594994 0.202882062950322
po 0.0035810205908684 0.0402864816472695 0 0.0617726051924799 0.0053715308863026 0.081468218442256 0.0152193375111907 0.0295434198746643 0.0411817367949866 0.118173679498657 0.603401969561325
sb 0.0262626262626263 0.152861952861953 0 0.0767676767676768 0.132659932659933 0.131986531986531 0.0653198653198653 0.105723905723906 0.096969696969697 0.107744107744108 0.103703703703704
sw 0.0415944540727903 0.0987868284228769 0 0.0866551126516465 0.124783362218371 0.133448873483534 0.0467937608318891 0.0571923743500867 0.107452339688042 0.12998266897747 0.173310225303293
wb 0.0382190701339638 0.111899133175729 0 0.101260835303388 0.260441292356186 0.106382978723404 0.061859732072498 0.0508274231678487 0.0520094562647754 0.138297872340426 0.0788022064617811
ww 0.0491955445544554 0.0499690594059406 0 0.0929764851485156 0.189511138613861 0.0915841584158416 0.0703898514851485 0.0433168316831683 0.046875 0.162902227722772 0.203279702970297
