crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.00853432282003711 0.0556586270871985 0 0.0211502782931354 0.0233766233766234 0.063821892393321 0.00519480519480519 0.0226345083487941 0.0330241187384045 0.139146567717996 0.627458256029685
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0174349881796704 0 0.42324172576832 0.112662529550828 0.0260047281323878 0.0805998817966904 0.024896572104019 0.0414450354609929 0.0400413711583924 0.0585106382978724 0.175162529550827
ma 0.00397398843930636 0.108381502890173 0 0.280888728323699 0.000722543352601822 0.0957369942196532 0.0166184971098266 0.0278179190751445 0.0350433526011561 0.0966401734104046 0.334176300578035
or 0.0019311232700354 0.0168436862997532 0 0.0063297929406716 0.00665164681901084 0.0310052569466795 0.00761720845402854 0.00944104709795086 0.011264885741873 0.12337732003004 0.785538032399957
ot 0.0188909201706277 0.141255332114564 0 0.0923826934795856 0.0981109079829376 0.215600243753809 0.0330286410725168 0.0409506398537477 0.0577696526508227 0.0992078001218769 0.202803168799512
po 0.00276789244760775 0.0320284697508897 0 0.0284697508896797 0.00316330565440886 0.0636615262949782 0.00632661130881771 0.0221431395808616 0.0316330565440886 0.183471727955714 0.626334519572954
sb 0.0247157686604053 0.181413741967375 0 0.0672268907563025 0.136925358378646 0.127286208601087 0.0289174493326742 0.0590706870983688 0.0753830944142363 0.148294611962432 0.150766188828473
sw 0.0289256198347107 0.113980716253444 0 0.0557851239669422 0.107093663911846 0.105027548209366 0.0230716253443526 0.0506198347107438 0.0912534435261708 0.146349862258953 0.277892561983471
wb 0.0276503118013885 0.122249676432521 0 0.0701258971643723 0.324038122132016 0.0945993646311324 0.0357689139898813 0.0385927756206612 0.0460054124014591 0.138839863513355 0.102129662313213
ww 0.0420088915680812 0.0596036470499586 0 0.0647276015371863 0.194559565970914 0.0814934820284832 0.0463416472006631 0.0353778916434331 0.0480370733177605 0.17952678773265 0.24832341195087
