crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.0077639751552795 0.010351966873706 0.0077639751552795 0 0.0429606625258799 0.0010351966873706 0.0885093167701863 0.0232919254658385 0.119565217391304 0.140786749482402 0.0305383022774327 0.527432712215321
fb 0.00276969948760559 0.00941697825785902 0.0162027420024927 0 0.00401606425702811 0.00540091400083146 0.0253427503115912 0.00221575959008448 0.0210497161058025 0.0333748788256474 0.0691040022157596 0.811106494945298
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0208706022659511 0.0545617173524153 0 0.324090638044126 0.0301132975551581 0.0208706022659511 0.13804412641622 0.0101371496720334 0.0518783542039357 0.0736434108527134 0.0661896243291592 0.209600477042338
ma 0.0683060109289618 0.0200364298724954 0.158469945355191 0 0.156648451730419 0 0.150273224043716 0.0255009107468124 0.0537340619307832 0.046448087431694 0.0546448087431694 0.265938069216758
or 0.000593559875352204 0.00148389968838107 0.00786466834841965 0 0.000741949844190533 0.000593559875352426 0.0148389968838107 0.00148389968838107 0.00875500816144829 0.0247811247959638 0.0449621605579463 0.893901172280754
ot 0.0269839159909611 0.0510434667021135 0.171872923036023 0 0.0210022597368071 0.0404094111391732 0.174132659843148 0.0174132659843148 0.0475873986441579 0.0709823208826266 0.0713810979662369 0.307191280074438
po 0.0542635658914733 0.00775193798449612 0.0184108527131783 0 0.0135658914728682 0.00290697674418605 0.0562015503875969 0.0155038759689922 0.0251937984496124 0.0397286821705426 0.0513565891472868 0.715116279069767
sb 0.0282224094355518 0.149747262005055 0.0412805391743892 0 0.0094776748104465 0.140480202190396 0.0633951137320977 0.0113732097725358 0.135846672283067 0.0979359730412805 0.0987784330244313 0.223462510530749
sw 0.0237355811889973 0.115350488021295 0.046583850931677 0 0.0110913930789707 0.0922803904170364 0.0831854480922802 0.0148624667258208 0.100044365572316 0.122892635314996 0.0918367346938776 0.298136645962733
wb 0.044456641053787 0.141968532747896 0.0526893523600439 0 0.0139041346505671 0.26143432125869 0.0746432491767289 0.0192096597145993 0.0578119282839371 0.0680570801317234 0.125503110135382 0.140321990486645
ww 0.048795765604936 0.114848570265276 0.0235209370791444 0 0.0100222368379843 0.108302796830467 0.058003695699834 0.0221741990040402 0.0845626233204923 0.0774217795734286 0.111747940743525 0.340599455040872
