crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.00795698924731183 0.00774193548387097 0.0172043010752688 0 0.0311827956989247 0.00129032258064516 0.126236559139785 0.0348387096774194 0.175053763440859 0.205376344086022 0.0662365591397849 0.326881720430108
fb 0.0182648401826484 0.00941780821917808 0.0416666666666665 0 0.00856164383561644 0.00713470319634703 0.0787671232876712 0.0131278538812785 0.0248287671232877 0.0222602739726027 0.0876141552511416 0.688356164383562
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.132398753894081 0.0489096573208724 0 0 0.0862928348909658 0.0218068535825545 0.236760124610591 0.056386292834891 0.0862928348909658 0.069158878504673 0.0996884735202489 0.162305295950156
ma 0.0740540540540541 0.00864864864864865 0.122702702702703 0 0.118378378378378 0 0.17027027027027 0.0518918918918919 0.0675675675675676 0.0556756756756757 0.0762162162162162 0.254594594594595
or 0.013416149068323 0.00347826086956522 0.0248447204968944 0 0.00149068322981366 0.000745341614906832 0.0377639751552795 0.0104347826086957 0.00894409937888199 0.00993788819875776 0.109813664596273 0.779130434782609
ot 0.0693466247697475 0.0250297973778308 0.134359085491386 0 0.0369487485101311 0.0279553581103045 0.220934012352368 0.0439917650883086 0.0487593455412287 0.0569942572326359 0.101961209231769 0.23371979629429
po 0.0388007054673721 0.00749559082892416 0.027336860670194 0 0.0343915343915344 0.00264550264550265 0.105379188712522 0.0189594356261023 0.0577601410934744 0.054673721340388 0.102292768959436 0.55026455026455
sb 0.0968042920457196 0.0737112199673431 0.0704455330067646 0 0.0191275950548169 0.111966410076977 0.0900396547702356 0.0487520410543504 0.100303242360625 0.072778166550035 0.158852344296711 0.157219500816422
sw 0.0900294488851501 0.0694152292806058 0.0681531342027766 0 0.0185107278081615 0.081194783340345 0.111064366848969 0.0555321834244846 0.0689945309213294 0.076987799747581 0.158182583087926 0.201935212452671
wb 0.163092115414288 0.0706681067736456 0.0563184693720105 0 0.0197500385742941 0.21401018361364 0.118808825798488 0.060793087486499 0.0407344545594816 0.035334053386823 0.146119426014504 0.0743712390063262
ww 0.145580690298507 0.0713036380597015 0.0321245335820896 0 0.0212220149253734 0.0906599813432836 0.0930503731343284 0.0577192164179104 0.0611007462686567 0.0424440298507463 0.148554104477612 0.236240671641791
