crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.0078003120124805 0.00702028081123245 0.00514820592823713 0 0.0511700468018721 0.0015600624024961 0.0717628705148206 0.0215288611544466 0.105460218408736 0.175507020280811 0.0405616224648986 0.512480499219969
fb 0.0123694337548103 0.0105827377680044 0.0265255634964266 0 0.00989554700384783 0.0100329851566795 0.0534634414513469 0.00865860362836723 0.0218526663001649 0.0268004398020891 0.0645959318306762 0.755222649807587
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0577206656835897 0.0374973667579524 0 0.224141563092479 0.0781546239730349 0.0315989045713082 0.159047819675585 0.031809563935117 0.0558247314093112 0.0657257215083211 0.0722561617863914 0.186222877606911
ma 0.0667706708268331 0.0093603744149766 0.118876755070203 0 0.171606864274571 0.000312012480499775 0.129485179407176 0.0346333853354134 0.0377535101404056 0.0492979719188768 0.0592823712948518 0.322620904836193
or 0.00534084288211303 0.00194212468440474 0.0100990483589046 0 0.00233054962128569 0.000388424936880948 0.0234997086812973 0.00320450572926782 0.00534084288211303 0.0126238104486308 0.0575839968926009 0.877646144882501
ot 0.0510625286653417 0.033175355450237 0.131707689955664 0 0.0380675737654793 0.0496865922641798 0.176731386638129 0.0288946644243999 0.0440299648371809 0.0626815471640422 0.0784283748662284 0.305534321969118
po 0.0387243735763098 0.00370159453302961 0.0170842824601367 0 0.025626423690205 0.000854214123006834 0.0714692482915718 0.007972665148064 0.0267653758542141 0.0390091116173121 0.0575170842824601 0.71127562642369
sb 0.0701653210303729 0.0793925413302576 0.0444059976931949 0 0.0205690119184929 0.166474432910419 0.0849673202614379 0.0334486735870819 0.0903498654363704 0.0822760476739716 0.133217993079585 0.194732795078816
sw 0.0751924215512135 0.0779553976712058 0.0544701006512729 0 0.0217090980856523 0.100059206631143 0.0941385435168739 0.0382869548056049 0.0519044799684231 0.0967041641997237 0.141503848431024 0.248075784487863
wb 0.117676921514875 0.0604122245913291 0.0481267133719159 0 0.0199004975124378 0.344705046197584 0.0855924459335973 0.0348258706467653 0.0289369479134938 0.0346228043456188 0.123261244796426 0.101939283175957
ww 0.118308776425369 0.0792312620115311 0.026598334401025 0 0.0217296604740551 0.123971812940423 0.0818449711723254 0.0528122998078155 0.0497117232543242 0.049788597053171 0.140550928891736 0.255451633568225
