crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0 0.166666666666666 0 0 0 0.166666666666667 0 0.166666666666667 0.5 0 0
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0714285714285716 0 0.285714285714284 0 0 0.214285714285715 0.0714285714285716 0 0.142857142857143 0 0.214285714285715
ma 0 0.5 0 0 0 0.5 0 0 0 0 0
or 0 0 0 0 0 0 0 0 0.5 0 0.5
ot 0 0.210526315789474 0 0 0 0.368421052631579 0.105263157894737 0.105263157894736 0 0 0.210526315789474
po 0 0 0 0 0 0.666666666666667 0 0 0 0 0.333333333333333
sb 0 0.166666666666667 0 0 0.666666666666666 0 0 0 0 0.166666666666667 0
sw 0.333333333333334 0 0 0 0.333333333333333 0 0 0 0 0 0.333333333333333
wb 0 0 0 0 1 0 0 0 0 0 0
ww 0.0416666666666667 0.0416666666666667 0 0 0.25 0.0833333333333333 0 0.166666666666667 0 0.0833333333333333 0.333333333333333
