crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0 0 0 0 0 0 0 1 0 0 0 0
fb 0 0.0491803278688525 0.0327868852459016 0 0 0 0.0491803278688525 0 0 0.0491803278688521 0.0655737704918033 0.754098360655738
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0 0.0272727272727272 0 0.595454545454545 0.0181818181818182 0 0.122727272727273 0.00454545454545455 0.0272727272727272 0.0454545454545455 0.0545454545454546 0.104545454545455
ma 0 0 0.227272727272727 0 0.136363636363636 0 0.409090909090909 0 0.0454545454545455 0.0909090909090909 0 0.0909090909090915
or 0 0 0.1 0 0 0 0.125 0 0 0.025 0.05 0.7
ot 0 0.045 0.365 0 0.02 0.02 0.175 0.015 0.04 0.03 0.05 0.24
po 0 0.166666666666667 0 0 0 0 0.166666666666666 0 0.166666666666667 0 0 0.5
sb 0 0.322033898305085 0.101694915254237 0 0 0.152542372881356 0.11864406779661 0.0677966101694915 0.0677966101694915 0.0338983050847462 0.0677966101694915 0.0677966101694915
sw 0 0.170731707317073 0.219512195121951 0 0 0.024390243902439 0.0731707317073179 0 0.024390243902439 0.0975609756097561 0.195121951219512 0.195121951219512
wb 0 0.0568181818181818 0.25 0 0 0.227272727272727 0.0454545454545455 0 0.125 0.0568181818181818 0.0568181818181819 0.181818181818182
ww 0.0036101083032491 0.151624548736462 0.0830324909747294 0 0.0036101083032491 0.0722021660649819 0.108303249097473 0.0252707581227437 0.0794223826714801 0.0649819494584837 0.111913357400722 0.296028880866426
