crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0 0 0 0 0 0 0 0 0 0 0 1
fb 0 0.0145507457257184 0.0549290651145871 0 0.0130956711531466 0.0123681338668607 0.0440160058202983 0.000727537286285922 0.0403783193888687 0.0520189159694434 0.125500181884322 0.642415423790469
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0 0.0379192334017796 0 0.532785763175908 0.0481861738535249 0.0258726899383983 0.0651608487337441 0.00232717316906229 0.0425735797399041 0.0379192334017796 0.0548939082819986 0.152361396303901
ma 0 0.00626304801670146 0.136221294363257 0 0.271398747390397 0.00208768267223382 0.058455114822547 0.0109603340292276 0.0334029227557411 0.0307933194154489 0.0767223382045929 0.373695198329853
or 0 0.003933910306845 0.015997901914503 0 0.00550747442958301 0.00262260687123 0.018882769472856 0.000524521374246001 0.015997901914503 0.025177025963808 0.114083398898505 0.797272488853921
ot 0.000176087339320303 0.0427892234548336 0.31995069554499 0 0.0508892410635675 0.0570522979397781 0.123965486881493 0.00352174678640606 0.0450783588659975 0.0493044550096851 0.0818806127839408 0.225391794329988
po 0 0.0123456790123457 0.0617283950617284 0 0.037037037037037 0.0185185185185185 0.0740740740740741 0.0493827160493827 0.00617283950617284 0.0123456790123457 0.111111111111111 0.617283950617284
sb 0 0.0972722593926917 0.129696345856922 0 0.0422027792074112 0.194544518785383 0.0874935666495111 0.0041173443129185 0.137416366443644 0.126093669583119 0.0643335048893464 0.116829644879053
sw 0 0.108095460926533 0.108563406644829 0 0.0369677117454375 0.144127281235377 0.0921853065044455 0.00561534861956013 0.087037903603182 0.104819840898456 0.0818905007019186 0.230697239120261
wb 0 0.0688183515604161 0.17017871432382 0 0.0442784742598026 0.278207522005868 0.0728194185116031 0.00373432915444118 0.0514803947719392 0.0757535342758069 0.104294478527607 0.130434782608696
ww 0.000162284972411444 0.104268094774424 0.0747322297955209 0 0.0592340149302174 0.167802661473548 0.0744076598506971 0.00811424862057784 0.0752190847127556 0.0997241155469004 0.132992534891269 0.203343070431678
