crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0 0.166666666666667 0 0 0.333333333333333 0 0.166666666666667 0 0 0 0 0.333333333333333
fb 0 0.0205391527599489 0.0879332477535302 0 0.0256739409499358 0.00834403080872914 0.0539152759948652 0.00192554557124519 0.0250320924261874 0.0359435173299101 0.109114249037227 0.631578947368421
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.00020631318341242 0.0257891479265522 0 0.592325149577059 0.0532288013204044 0.025995461109965 0.0831442129152052 0.00618939550237259 0.0336290488962244 0.031978543428925 0.0460078399009696 0.101506086238911
ma 0 0.00667070952092177 0.174044875682232 0 0.254699818071559 0.00181928441479685 0.0848999393571862 0.0285021224984835 0.0309278350515464 0.0248635536688902 0.0800485142510612 0.313523347483323
or 0 0.000706713780918728 0.0254416961130742 0 0.00212014134275618 0.00565371024734982 0.0332155477031802 0.000706713780918506 0.0120141342756184 0.0113074204946996 0.0975265017667845 0.8113074204947
ot 0.00119189511323004 0.0348629320619785 0.366209773539929 0 0.0646603098927294 0.0399284862932058 0.182657926102503 0.0193682955899881 0.0253277711561383 0.034564958283671 0.049761620977354 0.181466030989273
po 0 0.0133928571428571 0.0758928571428571 0 0.0535714285714286 0.00446428571428582 0.125 0.0357142857142857 0.0267857142857143 0.03125 0.0714285714285714 0.5625
sb 0.00108342361863489 0.0736728060671723 0.177681473456121 0 0.0400866738894908 0.199349945828819 0.0899241603466956 0.0130010834236186 0.105092091007584 0.0975081256771398 0.085590465872156 0.117009750812568
sw 0 0.118577075098814 0.19631093544137 0 0.0579710144927536 0.0909090909090909 0.080368906455863 0.00658761528326746 0.0948616600790514 0.0685111989459816 0.101449275362319 0.184453227931489
wb 0 0.047163798597833 0.219247928616953 0 0.0949649458253665 0.223072020395156 0.0936902485659656 0.0191204588910134 0.0522625876354366 0.0452517527087317 0.082855321861058 0.122370936902486
ww 0.000959385992964503 0.101694915254237 0.0946594179724976 0 0.0673169171730093 0.156859609849696 0.080108730412536 0.0185481291973137 0.0669971218420211 0.0497281739686605 0.111288775183882 0.251838823153182
