crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0 0 0.0769230769230769 0 0.153846153846154 0 0.153846153846154 0.0769230769230769 0.0769230769230765 0 0.0769230769230769 0.384615384615385
fb 0 0.0117212936835251 0.0471022357282396 0 0.0108530497069677 0.0138919036249186 0.0405904059040593 0.00173648795311483 0.0310397221619275 0.0266985022791404 0.115476448882136 0.700889950075971
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.000214938205265985 0.0468565287479849 0 0.30628694250403 0.076303062869425 0.0420204191295003 0.120042987641053 0.00397635679742074 0.0832885545405696 0.0584631918323481 0.0622246104245029 0.200322407307899
ma 0.000575871004894904 0.0112294845954506 0.1638353008926 0 0.221134465879643 0.00374316153181687 0.102505038871293 0.0184278721566369 0.0400230348401958 0.0299452922545352 0.0846530377195508 0.323927440253383
or 0 0.00159313725490196 0.0160539215686274 0 0.00502450980392157 0.000857843137254902 0.0207107843137255 0.000367647058823529 0.0117647058823529 0.0121323529411765 0.11875 0.812745098039216
ot 0.000925069380203515 0.0370027752081406 0.236933395004625 0 0.0593200740055504 0.0631359851988899 0.180966697502313 0.00832562442183164 0.0609389454209066 0.0474098057354302 0.068223866790009 0.2368177613321
po 0.00187617260787992 0.00187617260787992 0.0487804878048781 0 0.0731707317073171 0.00375234521575985 0.099437148217636 0.0150093808630394 0.0431519699812383 0.0225140712945591 0.0938086303939962 0.596622889305816
sb 0.000687852524418876 0.0602558811390838 0.0847434310083918 0 0.0346677672307057 0.29068647681937 0.0658962718393176 0.00412711514651259 0.186132893107718 0.0945109368551383 0.0901086806988578 0.0881826936304856
sw 0 0.0611860684028867 0.122685911515532 0 0.0263570756197053 0.116724192030122 0.0809538751176655 0.00439284593661751 0.101349231251961 0.115782867900847 0.110134923125196 0.260433009099467
wb 0.000315806095057635 0.057950418443076 0.120006316121901 0 0.0456339807358282 0.366966682456971 0.062213800726354 0.00742144323385441 0.063950734249171 0.0576346123480189 0.103742302226433 0.114163903363335
ww 0.000487725573077548 0.0844578117379288 0.0760445456023411 0 0.0437327263859535 0.131970411315233 0.0692570313770119 0.0115428385628353 0.154487075272313 0.0923427085026825 0.123150707202081 0.212526418468542
