crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.0081383519837233 0.0722278738555443 0 0.0274669379450661 0.0081383519837233 0.0691759918616484 0 0.0183112919633774 0.0274669379450661 0.138351983723296 0.630722278738555
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.018301010652827 0 0.424201037967769 0.196940726577438 0.017208413001912 0.0747063643813164 0.00355094236547355 0.0406992624965857 0.0338705271783666 0.0574979513794044 0.133023763998907
ma 0.0027027027027027 0.134009009009009 0 0.390540540540541 0.00135135135135135 0.0905405405405405 0.0045045045045045 0.0301801801801802 0.0371621621621622 0.0655405405405405 0.243468468468468
or 0.00304878048780488 0.0114329268292683 0 0.0141006097560976 0.00419207317073171 0.022484756097561 0.00038109756097561 0.00762195121951175 0.0194359756097561 0.136814024390244 0.780487804878049
ot 0.0216708542713568 0.22644472361809 0 0.0986180904522613 0.0665829145728643 0.207286432160804 0.0053391959798995 0.053391959798995 0.0603015075376884 0.0926507537688442 0.167713567839196
po 0 0.203703703703704 0 0.194444444444444 0 0.111111111111111 0 0.00925925925925904 0.0277777777777778 0.12962962962963 0.324074074074074
sb 0.0416881111682964 0.191456510550695 0 0.0844055584148224 0.166752444673186 0.0962429233144623 0.00154400411734431 0.0849202264539372 0.0941842511580031 0.145136387030365 0.0936695831188883
sw 0.0334075723830735 0.191536748329621 0 0.0846325167037862 0.0835189309576837 0.099109131403118 0.00334075723830735 0.0612472160356347 0.109131403118041 0.121380846325167 0.212694877505568
wb 0.0455177206393333 0.161570535093815 0 0.0799166087560806 0.334954829742877 0.088950660180681 0.00590687977762335 0.0430854760250174 0.0472550382209868 0.104586518415566 0.0882557331480195
ww 0.0605741374769555 0.101659204635238 0 0.129971029760337 0.127600737424282 0.100474058467211 0.00513563339478536 0.0796681590729523 0.0747958914932842 0.164076902818015 0.15604424545694
