crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.00757575757575758 0.128787878787879 0 0.0378787878787879 0.00757575757575758 0.0795454545454545 0.0151515151515152 0.0340909090909091 0.0303030303030303 0.109848484848485 0.549242424242424
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.011936022917164 0 0.442349009310098 0.186679398424445 0.00644545237526856 0.0954881833373121 0.0279302936261637 0.0644545237526856 0.0274528527094772 0.0527572212938652 0.0845070422535212
ma 0.000795861520095503 0.0959013131715082 0 0.357739753282929 0.000397930760047752 0.0959013131715082 0.0183048149621966 0.0378034222045364 0.0238758456028647 0.0935137286112216 0.275766016713092
or 0.00768049155145929 0.0506912442396313 0 0.021505376344086 0.010752688172043 0.0937019969278034 0.0168970814132104 0.00768049155145929 0.010752688172043 0.101382488479263 0.678955453149001
ot 0.00816130580892943 0.237157945271243 0 0.108497359577532 0.0264042246759482 0.28660585693711 0.0691310609697552 0.0619299087854057 0.042726836293807 0.0782525204032645 0.081132981277005
po 0 0.0782918149466192 0 0.096085409252669 0 0.0782918149466192 0.0391459074733096 0.0249110320284698 0.0782918149466192 0.149466192170818 0.455516014234876
sb 0.032114183764496 0.239964317573596 0 0.0900981266726137 0.0508474576271186 0.15878679750223 0.0463871543264942 0.140053523639607 0.0811775200713648 0.0981266726137377 0.0624442462087422
sw 0.00775193798449612 0.275193798449612 0 0.0775193798449612 0.0310077519379845 0.182170542635659 0.0271317829457364 0.062015503875969 0.0581395348837209 0.0852713178294574 0.193798449612403
wb 0.0261651676206051 0.201962387571545 0 0.153720359771055 0.179067865903516 0.14227309893704 0.0433360588716272 0.0506950122649223 0.0212591986917416 0.10874897792314 0.0727718724448078
ww 0.0392320534223699 0.103088480801336 0 0.239983305509182 0.0993322203672788 0.0901502504173623 0.0425709515859766 0.0596828046744574 0.0434056761268781 0.161519198664441 0.121035058430718
