crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.00536604062859366 0.0996550402453047 0 0.0206975852817171 0.00689919509390571 0.0709083940206976 0.00421617477960905 0.0436949022614028 0.0459946339593714 0.122269068608662 0.580298965120736
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0133415225031562 0 0.410720988159825 0.141433787149828 0.0154911795816699 0.0885795202511346 0.018050295151329 0.0953355853550351 0.039819838263896 0.0602245197393116 0.117002763844815
ma 0.00322687406917094 0.107645209333113 0 0.309200728115175 0.00165480721495946 0.105162998510674 0.0142313420486513 0.0521264272712229 0.0345027304319047 0.0853053119311589 0.28694357107397
or 0.00271155801604339 0.0311829171844989 0 0.0136707716642183 0.00937747147215004 0.0480171732007683 0.00316348435205062 0.0238391142243814 0.0163823296802621 0.110157044401763 0.741498135803864
ot 0.0118421974633873 0.212038399551538 0 0.0969798892859645 0.0414827272090253 0.239086258846612 0.0276785088641301 0.0889916614112536 0.0735057108822087 0.0834559596384276 0.124938686847453
po 0.00279720279720324 0.102097902097902 0 0.079020979020979 0.0020979020979021 0.106293706293706 0.0230769230769231 0.0776223776223776 0.065034965034965 0.158041958041958 0.383916083916084
sb 0.0249658248794875 0.178573998129362 0 0.0575580977048709 0.150370530253975 0.125188862508094 0.0194258579753939 0.166270954744945 0.0910137419958273 0.107921433196633 0.078710698611411
sw 0.0254503860451816 0.158135544752645 0 0.0680583357163283 0.102087503574492 0.116671432656563 0.0145839290820703 0.133828996282529 0.087217615098656 0.115527595081498 0.178438661710037
wb 0.0190712458330103 0.166447011396232 0 0.085432979300721 0.220327157143965 0.119234049151097 0.0213194821303977 0.10310876812156 0.0434142181564462 0.135669431738894 0.0859756570276767
ww 0.0332935511749455 0.0924729412733034 0 0.108234906786287 0.0895098563726902 0.080291370015227 0.0189308201983633 0.146302316967776 0.0733775052471295 0.187579735791596 0.170006996172682
