crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0 0.148148148148148 0 0.333333333333333 0 0.0370370370370381 0 0.111111111111111 0.037037037037037 0.0740740740740741 0.259259259259259
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.00298507462686567 0 0.731343283582089 0.0716417910447761 0.00895522388059701 0.0835820895522388 0.00298507462686567 0.0208955223880597 0.017910447761194 0.02089552238806 0.0388059701492537
ma 0 0.244897959183673 0 0.408163265306122 0 0.142857142857143 0 0 0.0204081632653061 0.102040816326531 0.0816326530612246
or 0 0.18918918918919 0 0 0 0.108108108108108 0 0.027027027027027 0.027027027027027 0.135135135135135 0.513513513513513
ot 0 0.241935483870968 0 0.0645161290322581 0.0645161290322581 0.483870967741935 0 0.0483870967741935 0.032258064516129 0.0483870967741935 0.0161290322580645
po 0 0 0 0 0 0.333333333333333 0 0 0 0 0.666666666666667
sb 0 0.166666666666666 0 0.0416666666666667 0.0833333333333333 0.25 0.0416666666666667 0.166666666666667 0 0.125 0.125
sw 0 0.2 0 0 0.1 0.2 0 0.1 0 0 0.4
wb 0 0.210526315789474 0 0.131578947368421 0.289473684210526 0.131578947368421 0 0.052631578947369 0.0526315789473685 0.105263157894737 0.0263157894736841
ww 0 0.16304347826087 0 0.0760869565217391 0.195652173913043 0.0760869565217391 0 0.0217391304347826 0.0434782608695652 0.217391304347826 0.206521739130435
