crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.0294117647058826 0.264705882352941 0 0 0 0.294117647058824 0 0 0.117647058823529 0.0294117647058824 0.264705882352941
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.00594353640416059 0 0.75482912332838 0.0765230312035661 0.0141158989598811 0.0549777117384844 0.00520059435364097 0.0267459138187221 0.0222882615156018 0.0141158989598811 0.0252600297176817
ma 0.0037593984962406 0.0827067669172932 0 0.428571428571429 0 0.093984962406015 0.018796992481203 0.0225563909774436 0.0225563909774429 0.0676691729323308 0.259398496240602
or 0 0.12 0 0.0133333333333333 0 0.0133333333333333 0 0.026666666666666 0.0533333333333333 0.106666666666667 0.666666666666667
ot 0.00416666666666667 0.204166666666667 0 0.1625 0.0291666666666667 0.295833333333333 0.0291666666666667 0.0625 0.0666666666666667 0.0666666666666667 0.0791666666666667
po 0 0.241379310344828 0 0.137931034482759 0 0.241379310344826 0.0344827586206897 0 0.0344827586206897 0 0.310344827586207
sb 0 0.369565217391304 0 0.141304347826087 0.0434782608695663 0.119565217391304 0 0.0652173913043478 0.0652173913043478 0.119565217391304 0.0760869565217391
sw 0 0.5 0 0.09375 0.03125 0.125 0 0.0625 0.0625 0.09375 0.03125
wb 0.0152671755725191 0.152671755725191 0 0.106870229007634 0.16793893129771 0.114503816793893 0.00763358778625954 0.0381679389312975 0.0534351145038168 0.213740458015267 0.129770992366412
ww 0.008 0.128 0 0.192 0.064 0.1 0.02 0.024 0.04 0.172 0.252
