crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.00233644859813084 0.275700934579439 0 0.0467289719626168 0.0210280373831776 0.123831775700935 0.0116822429906542 0.088785046728972 0.0467289719626168 0.0911214953271028 0.292056074766355
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.00414216502089575 0 0.808942638411184 0.0494101113206849 0.00347645992825179 0.030992270424202 0.00858019897185547 0.0375013868856097 0.0153851843633271 0.0123155442139132 0.0292540404600762
ma 0.00182949140139041 0.135016465422613 0 0.437614343212587 0.00182949140139041 0.0837907061836809 0.017929015733625 0.0431759970728138 0.0347603366264179 0.0603732162458836 0.183680936699598
or 0.00175284837861525 0.0525854513584575 0 0.0166520595968449 0.014022787028922 0.0613496932515337 0.0122699386503067 0.0438212094653812 0.0122699386503067 0.152497808939527 0.632778264680105
ot 0.00286624203821656 0.386942675159235 0 0.085031847133758 0.0232484076433121 0.165286624203822 0.0222929936305732 0.106050955414013 0.0773885350318471 0.0652866242038217 0.0656050955414013
po 0.00501672240802676 0.205685618729097 0 0.0752508361204013 0.00501672240802676 0.112040133779264 0.0384615384615381 0.110367892976589 0.0267558528428094 0.145484949832776 0.275919732441472
sb 0.00676470588235294 0.345 0 0.0423529411764706 0.0252941176470588 0.175588235294118 0.0294117647058824 0.180882352941176 0.0620588235294118 0.0776470588235294 0.055
sw 0.00485908649173955 0.248785228377065 0 0.06511175898931 0.0359572400388727 0.172983479105928 0.0301263362487852 0.13022351797862 0.0728862973760933 0.119533527696793 0.119533527696793
wb 0.00782472613458529 0.268779342723004 0 0.0712050078247261 0.112284820031299 0.131455399061033 0.0211267605633803 0.0782472613458529 0.0485133020344288 0.181533646322379 0.0790297339593114
ww 0.0102647217720151 0.136412749864938 0 0.108049702863317 0.112101566720692 0.069151809832523 0.0299837925445705 0.0510534846029173 0.0437601296596432 0.200432198811453 0.238789843327931
