crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0 0.238095238095238 0 0 0 0.142857142857143 0.0476190476190476 0.0476190476190476 0.0952380952380952 0 0.428571428571429
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.000469483568075117 0 0.917840375586855 0.00164319248826291 0.00234741784037558 0.0145539906103287 0.000469483568075117 0.042488262910798 0.0157276995305161 0.00258215962441315 0.00187793427230047
ma 0.0666666666666675 0.733333333333333 0 0 0 0.0666666666666667 0 0.133333333333333 0 0 0
or 0 0.25 0 0 0 0.142857142857143 0 0.0714285714285714 0.107142857142857 0.25 0.178571428571429
ot 0.00408163265306122 0.518367346938776 0 0.0204081632653061 0.036734693877551 0.175510204081633 0 0.2 0.0204081632653061 0.0204081632653061 0.00408163265306033
po 0 0.3 0 0 0 0.1 0 0.4 0 0 0.2
sb 0 0.464757709251101 0 0.0066079295154185 0 0.0837004405286344 0.00440528634361234 0.312775330396476 0.0903083700440529 0.0242290748898678 0.013215859030837
sw 0 0.32089552238806 0 0.0111940298507463 0 0.0708955223880597 0 0.399253731343284 0.138059701492537 0.0335820895522388 0.0261194029850746
wb 0 0.492957746478873 0 0.0140845070422535 0.0633802816901408 0.161971830985915 0 0.0704225352112676 0.0140845070422543 0.119718309859155 0.0633802816901408
ww 0 0.138888888888889 0 0.0138888888888889 0.0694444444444444 0.125 0 0.208333333333333 0.0972222222222222 0.208333333333333 0.138888888888889
