crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.00479233226837061 0.118210862619808 0 0.0255591054313099 0.0223642172523963 0.0559105431309904 0.0319488817891374 0.196485623003195 0.100638977635783 0.0511182108626194 0.39297124600639
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.00879584835957429 0 0.279971853285249 0.0320168880288503 0.0163602779488082 0.106781599085231 0.0295540504881695 0.31964112938693 0.132729351745976 0.0232210396692761 0.050927962001935
ma 0.00168350168350168 0.304713804713805 0 0.104377104377104 0.0269360269360269 0.0875420875420877 0.0218855218855219 0.237373737373737 0.0909090909090909 0.0168350168350168 0.107744107744108
or 0.000356633380884451 0.0217546362339515 0 0.00570613409415121 0.00891583452211127 0.0210413694721826 0.00463623395149786 0.123038516405136 0.0748930099857338 0.0492154065620542 0.690442225392297
ot 0.0045271629778672 0.188296445338699 0 0.0372233400402414 0.0405767940979209 0.16851106639839 0.0310194500335345 0.252179745137492 0.124077800134138 0.0378940308517773 0.11569416498994
po 0.00253292806484296 0.0673758865248227 0 0.0131712259371834 0.00151975683890578 0.060790273556231 0.00911854103343465 0.289260385005066 0.135258358662614 0.0293819655521783 0.391590678824721
sb 0.00549401062775826 0.213095559758624 0 0.0198144645591282 0.0226965684950014 0.0741241106007385 0.0328739980185535 0.40817796991804 0.11249211924705 0.0529586598216698 0.0582725389534364
sw 0.00653871768480959 0.101592298843616 0 0.0150753768844221 0.0181025609977599 0.0816734273778531 0.0424411212689956 0.370890597566144 0.241932554337955 0.0540049645819459 0.0677483804564987
wb 0.00384122919334187 0.108066581306018 0 0.0133162612035851 0.365685019206146 0.0591549295774648 0.0279129321382843 0.11190781049936 0.0545454545454545 0.168501920614597 0.087067861715749
ww 0.0149462867818776 0.0507940214852872 0 0.0219523587108832 0.0541802895843064 0.0743811303129379 0.0545305931807567 0.208430639887903 0.158570761326483 0.107076132648295 0.25513778608127
