crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.0103926096997691 0.125866050808314 0 0.0254041570438799 0.0311778290993072 0.0681293302540416 0.023094688221709 0.189376443418014 0.0946882217090069 0.0623556581986143 0.369515011547344
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.00439938791124712 0 0.488332058148433 0.022379495026779 0.010902830910482 0.0706293037490435 0.0235749808722261 0.243640015302218 0.0750286916602906 0.022140397857689 0.0389728385615915
ma 0.0116279069767442 0.27906976744186 0 0.0813953488372093 0.0494186046511628 0.11046511627907 0.0261627906976744 0.222383720930233 0.0726744186046512 0.0116279069767442 0.135174418604651
or 0.00143389733295096 0.0166332090622311 0 0.0108976197304273 0.0106108402638371 0.028964726125609 0.0111843991970175 0.138227702896473 0.04473759678807 0.0613708058503011 0.675939202753083
ot 0.00588611644273843 0.24171465131158 0 0.0310940499040315 0.0412028150991684 0.152015355086372 0.0268714011516315 0.240051183621241 0.10339091490723 0.0431222008957134 0.114651311580294
po 0.000934870676223122 0.0507946400747897 0 0.0190090370832035 0.00155811779370553 0.0520411343097538 0.0102835774384543 0.329697725148021 0.145839825490807 0.038018074166407 0.351822997818635
sb 0.0052533581593297 0.218247107328102 0 0.0256018087511637 0.0224763931373853 0.0734805160260673 0.0372389945471472 0.399521212927251 0.102540231413752 0.0590504056390477 0.0565899720707541
sw 0.00783530496235981 0.109028524606954 0 0.0181287448148717 0.0179751113842372 0.0843959645618887 0.0679571874839965 0.370000512111436 0.184052849900138 0.0699544220822451 0.0706713780918728
wb 0.0047886393659181 0.160832232496697 0 0.0120541611624844 0.312087186261559 0.0663804491413474 0.0287318361955086 0.127146631439894 0.0430977542932629 0.168262879788639 0.0766182298546896
ww 0.00959869294393955 0.0542224037577862 0 0.0213417747370571 0.0533033799652813 0.0737261309098336 0.0669866230981313 0.258654140712754 0.132645767384867 0.135096497498213 0.194424588992137
