crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.0298507462686563 0.104477611940299 0 0.0597014925373134 0.0597014925373134 0.0597014925373134 0 0.0447761194029851 0.0447761194029851 0.0597014925373134 0.537313432835821
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0571428571428572 0 0.262857142857144 0.022857142857143 0.04 0.0742857142857141 0.0114285714285714 0.154285714285714 0.0685714285714285 0.0685714285714285 0.24
ma 0.04 0.32 0 0.08 0 0.08 0 0.24 0.04 0.08 0.12
or 0 0.00995024875621891 0 0 0 0.0149253731343284 0 0.0646766169154225 0.0199004975124378 0.00497512437810945 0.885572139303483
ot 0.0234375 0.1875 0 0.03125 0.125 0.0859375 0 0.078125 0.0625 0.1328125 0.2734375
po 0 0.0526315789473684 0 0 0 0.0526315789473684 0.0526315789473684 0.0526315789473688 0 0 0.789473684210526
sb 0.0158730158730159 0.166666666666667 0 0.0158730158730159 0.0714285714285714 0.0952380952380952 0.0317460317460317 0.158730158730159 0.0238095238095238 0.19047619047619 0.23015873015873
sw 0.0731707317073171 0.040650406504065 0 0.00813008130081301 0.0487804878048781 0.121951219512195 0 0.178861788617886 0.0975609756097561 0.219512195121951 0.211382113821139
wb 0.0116279069767442 0.0387596899224806 0 0.0232558139534884 0.465116279069767 0.0581395348837209 0.0155038759689922 0.0775193798449612 0.0310077519379845 0.178294573643411 0.10077519379845
ww 0.05175983436853 0.0496894409937888 0 0.014492753623188 0.0890269151138716 0.0496894409937888 0.031055900621118 0.10351966873706 0.0289855072463768 0.256728778467909 0.325051759834369
