crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.0162074554294976 0.0891410048622366 0 0.0129659643435981 0.0178282009724473 0.0502431118314425 0 0.0972447325769854 0.0356564019448949 0.0632090761750405 0.617504051863857
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0402055622732769 0 0.394498186215235 0.0193470374848851 0.0287182587666264 0.0906892382103991 0.0060459492140266 0.111850060459492 0.0323458282950424 0.0731559854897222 0.203143893591294
ma 0.0380434782608696 0.342391304347826 0 0.0271739130434783 0 0.114130434782609 0 0.168478260869565 0.0380434782608696 0.016304347826087 0.255434782608696
or 0.000742942050520059 0.0100297176820209 0 0.00297176820208024 0.00037147102526003 0.00854383358098068 0.000742942050520059 0.0278603268945022 0.0107726597325409 0.0234026745913819 0.914561664190193
ot 0.0263947210557888 0.178164367126575 0 0.0143971205758848 0.107378524295141 0.141571685662867 0.002999400119976 0.0845830833833233 0.0275944811037792 0.127774445110978 0.289142171565687
po 0 0.0421686746987952 0 0.0120481927710843 0 0.0120481927710843 0 0.072289156626506 0.0120481927710843 0.0180722891566269 0.831325301204819
sb 0.0201342281879195 0.175335570469799 0 0.0285234899328859 0.0864093959731544 0.0864093959731545 0.00838926174496644 0.171140939597315 0.0562080536912752 0.156879194630872 0.210570469798658
sw 0.0647840531561462 0.0747508305647837 0 0.0116279069767442 0.063953488372093 0.0764119601328904 0.00830564784053156 0.142857142857143 0.0523255813953488 0.254983388704319 0.25
wb 0.0223135642982971 0.083969465648855 0 0.00880798590722255 0.497944803288315 0.0475631238990018 0.00645918966529654 0.0425719318849086 0.0229007633587786 0.14826776277158 0.119201409277745
ww 0.0341250751653636 0.0363800360793746 0 0.0121767889356584 0.0838845460012026 0.0544197233914612 0.0133794347564642 0.0844858689116055 0.031870114251353 0.266987372218882 0.382291040288635
