crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.032345013477089 0.0107816711590297 0.0242587601078167 0 0.0512129380053908 0 0.121293800539084 0.0619946091644194 0.191374663072776 0.245283018867925 0.0215633423180593 0.23989218328841
fb 0.0189189189189189 0.0351351351351351 0.0432432432432432 0 0.0351351351351351 0.0297297297297297 0.0810810810810811 0.0243243243243243 0.0527027027027029 0.0972972972972973 0.0783783783783784 0.504054054054054
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0213089802130899 0.015220700152207 0 0.424657534246575 0.0494672754946728 0.0197869101978692 0.0799086757990868 0.0327245053272451 0.0745814307458143 0.0898021308980214 0.0494672754946728 0.143074581430746
ma 0.0490620490620491 0.0187590187590188 0.13997113997114 0 0.199134199134199 0.00144300144300144 0.124098124098124 0.0360750360750364 0.0865800865800866 0.0822510822510823 0.0331890331890332 0.229437229437229
or 0.00212464589235127 0 0.0113314447592068 0 0.00141643059490085 0.00354107648725212 0.0191218130311615 0.00354107648725212 0.0191218130311615 0.0290368271954674 0.0297450424929176 0.881019830028329
ot 0.029494822717289 0.0232193285221211 0.231879510511453 0 0.0630687166614371 0.0571069971760276 0.149042987135237 0.0329463445246313 0.0627549419516787 0.0753059303420144 0.0668340131785378 0.208346407279573
po 0.00530973451327434 0.00353982300884956 0.0176991150442478 0 0.0283185840707965 0 0.0566371681415929 0.0212389380530973 0.0920353982300885 0.0920353982300885 0.0353982300884956 0.647787610619469
sb 0.0454545454545455 0.0505050505050507 0.098989898989899 0 0.0323232323232323 0.116161616161616 0.098989898989899 0.0393939393939394 0.121212121212121 0.134343434343434 0.157575757575758 0.105050505050505
sw 0.0274160383824537 0.0418094585332419 0.069910897875257 0 0.0301576422206991 0.0740233036326251 0.0966415352981494 0.0452364633310487 0.12268677176148 0.121315969842358 0.172035640849897 0.19876627827279
wb 0.0451050743208611 0.0317785750896985 0.0656073808303434 0 0.0322911327524346 0.330087134802665 0.0937980522808816 0.0568939005638134 0.0727831881086622 0.0538185545873911 0.154792414146591 0.0630445925166581
ww 0.0393145161290323 0.0352822580645161 0.0320060483870961 0 0.0257056451612903 0.0987903225806452 0.0980342741935484 0.0516633064516129 0.0788810483870968 0.0682963709677419 0.231098790322581 0.240927419354839
