crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.0100250626566416 0.012531328320802 0.0100250626566416 0 0.0275689223057644 0.0050125313283208 0.105263157894737 0.0325814536340852 0.160401002506266 0.182957393483708 0.025062656641604 0.428571428571429
fb 0.00425531914893617 0.0164893617021277 0.0191489361702124 0 0.0132978723404255 0.0313829787234043 0.0558510638297872 0.0074468085106383 0.050531914893617 0.0441489361702128 0.0654255319148936 0.692021276595745
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.00361285415478227 0.00912721049629207 0 0.652595550484883 0.0304240349876402 0.0142612664004563 0.0498193572922609 0.00969766115231033 0.0429739494200422 0.0319452367370223 0.0387906446092413 0.116752234265069
ma 0.0147347740667976 0.0166994106090375 0.169941060903733 0 0.118860510805501 0.00589390962671906 0.128683693516699 0.0225933202357564 0.0805500982318271 0.0648330058939096 0.0392927308447937 0.337917485265226
or 0.00274876305662452 0.000733003481766538 0.00733003481766538 0 0.00311526479750779 0.00128275609309144 0.0203408466190214 0.00146600696353308 0.0241891148982958 0.0192413413963716 0.0333516584203775 0.886201209455745
ot 0.0104942965779468 0.0196197718631179 0.239847908745247 0 0.0433460076045627 0.0658555133079848 0.149505703422053 0.0130798479087452 0.0673764258555133 0.0638783269961977 0.0652471482889736 0.261749049429658
po 0.0048828125 0.0029296875 0.0126953125 0 0.0087890625 0.00390625 0.0439453125 0.0048828125 0.0693359375 0.0458984375 0.0390625 0.763671875
sb 0.0157776108189331 0.0420736288504884 0.157400450788881 0 0.0293012772351615 0.150262960180316 0.094290007513148 0.0326821938392186 0.110067618332081 0.103681442524418 0.133734034560481 0.130728775356873
sw 0.00836713995943205 0.045131845841785 0.0740365111561866 0 0.0281440162271805 0.0897565922920893 0.106744421906694 0.0352434077079103 0.106997971602434 0.0912778904665314 0.192190669371197 0.22210953346856
wb 0.0102202643171806 0.0382378854625551 0.0690748898678414 0 0.0220264317180617 0.441233480176211 0.0819383259911894 0.0290748898678422 0.0470484581497797 0.0424669603524229 0.141850220264317 0.0768281938325991
ww 0.0196766425868593 0.0428620571035421 0.0315101479188167 0 0.01671826625387 0.120399036807706 0.0740970072239422 0.0396972824217406 0.0761609907120743 0.0615755073959408 0.201169590643275 0.316133470932233
