crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.0670897552130553 0.0244786944696283 0.0199456029011786 0 0.0553037171350861 0 0.235720761559384 0.0806890299184043 0.107887579329102 0.121486854034452 0.0389845874886664 0.248413417951043
fb 0.0242214532871972 0.0121107266435986 0.0484429065743945 0 0.0346020761245675 0.0207612456747405 0.0778546712802768 0.0224913494809689 0.0397923875432526 0.0570934256055363 0.107266435986159 0.555363321799308
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0810439560439558 0.0576923076923077 0 0.020604395604397 0.152472527472527 0.0590659340659341 0.167582417582417 0.048076923076923 0.0947802197802196 0.0865384615384615 0.0700549450549449 0.162087912087912
ma 0.0629067245119306 0.0151843817787417 0.105206073752712 0 0.195227765726681 0.00325379609544469 0.172451193058568 0.0379609544468547 0.0596529284164859 0.0574837310195228 0.0477223427331887 0.24295010845987
or 0.0163817663817664 0.00427350427350427 0.0142450142450142 0 0.00997150997150997 0.00071225071225049 0.0562678062678063 0.0142450142450142 0.0284900284900285 0.042022792022792 0.0527065527065527 0.760683760683761
ot 0.0910087719298246 0.021655701754386 0.107730263157895 0 0.0682565789473684 0.0334429824561404 0.252741228070175 0.0868969298245614 0.0553728070175439 0.0433114035087719 0.0419407894736844 0.197642543859649
po 0.0749486652977413 0.0154004106776181 0.0112936344969199 0 0.0246406570841889 0.00205338809034908 0.168377823408624 0.0523613963039014 0.0246406570841889 0.0256673511293634 0.0420944558521561 0.558521560574949
sb 0.0712669683257919 0.0361990950226251 0.081447963800905 0 0.0622171945701357 0.184389140271493 0.143665158371041 0.0565610859728507 0.105203619909502 0.0735294117647059 0.0735294117647059 0.111990950226244
sw 0.0682451253481894 0.0557103064066852 0.0835654596100279 0 0.0584958217270201 0.132311977715877 0.16991643454039 0.0543175487465181 0.104456824512535 0.0682451253481894 0.084958217270195 0.119777158774373
wb 0.101506740681998 0.0396510705789056 0.0658207771609833 0 0.0483743061062649 0.288659793814433 0.108643933386201 0.0388580491673275 0.0729579698651864 0.04203013481364 0.120539254559873 0.0729579698651871
ww 0.131251524762137 0.059038789948768 0.0343986338131252 0 0.0451329592583557 0.141985850207368 0.159063186142962 0.0841668699682849 0.0656257623810686 0.0451329592583548 0.0961210051232008 0.138082459136375
