crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.00790513833992095 0.0217391304347826 0 0.0118577075098814 0.0217391304347826 0.0237154150197628 0 0.00790513833992095 0.0395256916996047 0.152173913043478 0.713438735177866
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0337909186906019 0 0.205913410770857 0.079197465681098 0.0580781414994719 0.155227032734952 0.00739176346356914 0.0422386483632523 0.0665258711721223 0.079197465681098 0.272439281942977
ma 0.0116279069767442 0.10077519379845 0 0.213178294573643 0.00387596899224806 0.112403100775194 0.0193798449612403 0.0348837209302319 0.0310077519379845 0.12015503875969 0.352713178294574
or 0.00088261253309797 0.0123565754633709 0 0.00176522506619594 0.00176522506619594 0.0194174757281553 0.00353045013239188 0.0141218005295675 0.0414827890556046 0.102383053839365 0.802294792586055
ot 0.0532741398446171 0.110987791342952 0 0.0754716981132075 0.074361820199778 0.226415094339623 0.00554938956714761 0.0332963374028857 0.0554938956714761 0.104328523862375 0.260821309655938
po 0.0136986301369863 0.0410958904109589 0 0.0684931506849315 0.0136986301369866 0.0958904109589042 0 0.0547945205479452 0.0136986301369863 0.232876712328767 0.465753424657534
sb 0.0709876543209877 0.16358024691358 0 0.0679012345679012 0.209876543209877 0.0895061728395062 0 0.0462962962962963 0.095679012345679 0.126543209876543 0.12962962962963
sw 0.0620985010706638 0.12847965738758 0 0.0513918629550321 0.126338329764454 0.0877944325481799 0 0.0428265524625268 0.132762312633833 0.0856531049250535 0.282655246252677
wb 0.0725513905683192 0.110036275695284 0 0.0290205562273277 0.360338573155985 0.0918984280532049 0.00967351874244256 0.033857315598549 0.0399032648125756 0.106408706166868 0.146311970979444
ww 0.106815869786368 0.0688368938623262 0 0.0552729738894541 0.198711427602577 0.0844354018311292 0.00983384198033232 0.0573075618853849 0.0942692438114615 0.147507629704985 0.177009155645982
