crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.00744601638123604 0.0573343261355175 0 0.0238272524199553 0.0230826507818317 0.0647803425167535 0.00744601638123604 0.0245718540580791 0.0379746835443038 0.148920327624721 0.604616530156366
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0169566499557652 0 0.426717782365084 0.113388381008552 0.0232969625479209 0.0778531406664699 0.0224122677676201 0.0417281038041877 0.0430551459746396 0.0572102624594515 0.177381303450309
ma 0.00395968322534197 0.104391648668107 0 0.280057595392369 0.000719942404607631 0.0968322534197264 0.0147588192944564 0.0291576673866084 0.0309575233981281 0.10187185025198 0.337293016558675
or 0.00193965517241379 0.01875 0 0.00517241379310367 0.00797413793103448 0.0327586206896552 0.0084051724137931 0.0103448275862069 0.0116379310344828 0.119612068965517 0.783405172413793
ot 0.0201603109059998 0.142579548214719 0 0.0998299732815157 0.09181442798154 0.222977896526597 0.0315763905756619 0.0425066796210833 0.0573232936604324 0.0978868107845519 0.193344668447899
po 0.00321543408360129 0.0321543408360129 0 0.0209003215434086 0.00482315112540193 0.0570739549839228 0.00482315112540193 0.0192926045016077 0.0369774919614148 0.177652733118971 0.643086816720257
sb 0.0254745254745255 0.172327672327672 0 0.0709290709290709 0.146353646353646 0.126373626373626 0.032967032967033 0.0579420579420579 0.0714285714285714 0.145354645354646 0.150849150849151
sw 0.0291666666666667 0.113194444444444 0 0.0652777777777778 0.10625 0.113888888888889 0.021527777777778 0.0458333333333333 0.0909722222222222 0.134027777777778 0.279861111111111
wb 0.0295497185741088 0.12453095684803 0 0.0687148217636022 0.325046904315197 0.0877110694183869 0.0342401500938086 0.0401031894934334 0.0462007504690432 0.141651031894934 0.102251407129456
ww 0.0417075194207708 0.0598838524775624 0 0.0647861829700581 0.198054151896825 0.0816803680518897 0.0439701334942303 0.0354476204841994 0.0451768610000754 0.177539784297458 0.251753525906931
