crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.00932994062765055 0.00805767599660729 0.0195080576759966 0 0.0305343511450382 0.000848176420695616 0.127226463104326 0.0288379983036472 0.178541136556404 0.199321458863443 0.0687022900763359 0.329092451229856
fb 0.02122776821572 0.00860585197934595 0.0413080895008606 0 0.0114744693057946 0.0057372346528973 0.0826161790017212 0.0126219162363741 0.0200803212851402 0.0223752151462995 0.0963855421686747 0.677567412507172
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.1434034416826 0.0516252390057363 0 0 0.0834926704907586 0.0235818992989166 0.236456341618865 0.0503505417463353 0.0790312300828553 0.075844486934353 0.100701083492671 0.155513065646909
ma 0.0725893824485374 0.00866738894907909 0.120260021668472 0 0.112676056338028 0 0.174431202600217 0.0487540628385699 0.0563380281690141 0.0585048754062841 0.0823401950162514 0.265438786565547
or 0.0134932533733133 0.00249875062468766 0.0254872563718141 0 0.000999500249875062 0.000499750124937531 0.0389805097451274 0.00949525237381309 0.00949525237381309 0.00899550224887556 0.112943528235882 0.777111444277861
ot 0.0723684210526316 0.0224957555178268 0.134974533106961 0 0.0365025466893039 0.0271646859083192 0.225806451612904 0.0437181663837012 0.0500848896434635 0.0604838709677419 0.0991086587436333 0.227292020373514
po 0.0439158279963403 0.00914913083257091 0.0265324794144556 0 0.030192131747484 0.00274473924977127 0.101555352241537 0.0128087831655993 0.0612991765782251 0.0576395242451967 0.10064043915828 0.55352241537054
sb 0.087037903603182 0.0739354234908751 0.0772110435189514 0 0.0168460458586804 0.116518483855873 0.0968647636874123 0.0505381375760412 0.100608329433786 0.0729995320542817 0.153954141319607 0.15348619560131
sw 0.0912828947368421 0.0699013157894737 0.0740131578947368 0 0.0172697368421053 0.0822368421052632 0.113486842105263 0.0559210526315789 0.0674342105263158 0.0830592105263158 0.138157894736842 0.207236842105263
wb 0.1646875 0.0625 0.0553125 0 0.02 0.22375 0.1234375 0.05375 0.04 0.0365625 0.1453125 0.0746875
ww 0.145397122470464 0.070885483682302 0.0304129137910867 0 0.0223417943619137 0.0879635045034507 0.091589659609311 0.0598900456193707 0.0602409638554217 0.0432799157796233 0.147619604632121 0.240378991694935
