crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.00669710806697108 0.00547945205479452 0.00578386605783866 0 0.049923896499239 0.00121765601217656 0.0721461187214612 0.0216133942161339 0.101065449010654 0.178995433789955 0.0395738203957382 0.517503805175038
fb 0.012859097127223 0.00957592339261308 0.0270861833105335 0 0.00930232558139535 0.0114911080711354 0.0560875512995896 0.00820793433652531 0.0210670314637483 0.0276333789329685 0.0632010943912449 0.753488372093023
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.065989847715736 0.0384940778341786 0 0.225042301184433 0.0757191201353638 0.0291878172588832 0.155245346869712 0.0308798646362097 0.0566835871404399 0.0655668358714044 0.0710659898477157 0.186125211505923
ma 0.0664993726474278 0.00878293601003742 0.130489335006274 0 0.155583437892095 0 0.131744040150565 0.0338770388958595 0.0426599749058971 0.0451693851944793 0.0608531994981179 0.324341279799247
or 0.00490484598783598 0.00196193839513439 0.0111830488522661 0 0.00176574455562095 0.000588581518540318 0.0215813223464783 0.00313910143221503 0.00490484598783554 0.012948793407887 0.0618010594467334 0.875220718069453
ot 0.0519520442668306 0.0338149400553335 0.132339379034737 0 0.0378112511527827 0.0458038733476791 0.170765447279434 0.0287426990470335 0.0458038733476791 0.0644020903781125 0.082231786043652 0.306332616046726
po 0.0405330372015547 0.00555247084952804 0.0155469183786785 0 0.025541365907829 0.000555247084952804 0.0721821210438645 0.00777345918933926 0.0288728484175458 0.0377568017767909 0.0527484730705164 0.7129372570794
sb 0.0751734772552043 0.0759444872783346 0.0439475713184271 0 0.0242868157286045 0.166538164996145 0.0909791827293758 0.0300693909020817 0.0851966075558982 0.0844255975327679 0.130686198920586 0.192752505782575
sw 0.0777996070726916 0.0703339882121807 0.0530451866404715 0 0.0212180746561886 0.0978388998035363 0.0919449901768173 0.0408644400785855 0.0510805500982318 0.0907662082514735 0.152062868369352 0.253045186640471
wb 0.117647058823529 0.0616057233704293 0.0470985691573927 0 0.0206677265500795 0.343004769475358 0.0818759936406995 0.0367647058823529 0.0278219395866455 0.0359697933227345 0.125993640699523 0.101550079491256
ww 0.118155767065807 0.0818749360352062 0.0271722443966841 0 0.0216968580493296 0.121226077167127 0.0833077474158223 0.052706990072664 0.0515300378671579 0.0468734008801556 0.143895200081875 0.251560740968171
