crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0 0 0 0 0 0 0 1 0 0 0 0
fb 0 0.0588235294117643 0.0588235294117647 0 0 0 0.0882352941176471 0 0 0.0882352941176471 0 0.705882352941177
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0 0.0462962962962962 0 0.527777777777778 0.0185185185185186 0 0.12037037037037 0.00925925925925926 0.037037037037037 0.0648148148148148 0.0648148148148148 0.111111111111111
ma 0 0 0.2 0 0.1 0 0.5 0 0 0.1 0 0.1
or 0 0 0.0476190476190476 0 0 0 0.0476190476190476 0 0 0.0476190476190472 0.0476190476190476 0.80952380952381
ot 0 0.0272727272727273 0.381818181818182 0 0.0363636363636364 0.0181818181818182 0.163636363636364 0.00909090909090909 0.0454545454545456 0.0454545454545455 0.036363636363636 0.236363636363636
po 0 0 0 0 0 0 0.5 0 0.5 0 0 0
sb 0 0.260869565217391 0.130434782608696 0 0 0.217391304347826 0.130434782608696 0 0.0434782608695652 0.043478260869565 0.0869565217391304 0.0869565217391304
sw 0 0.130434782608696 0.173913043478261 0 0 0.0434782608695652 0.0869565217391304 0 0 0.0869565217391304 0.260869565217391 0.217391304347826
wb 0 0.0810810810810811 0.27027027027027 0 0 0.243243243243243 0 0 0.162162162162162 0.054054054054055 0.027027027027027 0.162162162162162
ww 0.00694444444444444 0.173611111111111 0.0902777777777778 0 0.00694444444444444 0.0625 0.104166666666667 0.0347222222222222 0.0416666666666667 0.0694444444444444 0.138888888888889 0.270833333333333
