crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0 0 0.125 0 0.25 0 0.25 0 0 0 0 0.375
fb 0 0.0122377622377622 0.0423951048951049 0 0.0122377622377622 0.00917832167832168 0.0410839160839161 0.00131118881118881 0.0288461538461538 0.027972027972028 0.122814685314685 0.701923076923077
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.000417623721027353 0.0465650448945497 0 0.335351847984967 0.0747546460638963 0.0398830653581124 0.11192315723533 0.00334098976821883 0.0831071204844435 0.0584673209438295 0.0584673209438295 0.187721862601796
ma 0.000574712643678161 0.00977011494252874 0.160344827586207 0 0.229310344827586 0.00459770114942529 0.0977011494252874 0.0172413793103448 0.0413793103448276 0.028735632183908 0.0885057471264368 0.32183908045977
or 0 0.00170815031722792 0.0168374816983895 0 0.00536847242557345 0.000732064421669107 0.020497803806735 0.000244021473889702 0.0112249877989263 0.012445095168375 0.117862371888726 0.813079551000488
ot 0.000707046900777752 0.0381805326419973 0.234739571058214 0 0.0591562573650719 0.0655196794720716 0.171812396888994 0.00754183360829602 0.0589205750648126 0.0494932830544426 0.0697619608767382 0.244166863068584
po 0 0.00383141762452107 0.0459770114942529 0 0.0881226053639847 0.00383141762452107 0.0766283524904215 0.0114942528735632 0.0459770114942527 0.0229885057471264 0.0727969348659004 0.628352490421456
sb 0.000844356881508584 0.0602307908809457 0.0821840698001689 0 0.0374331550802139 0.29805797917253 0.0616380523501267 0.00365887981987053 0.182099634112018 0.096819589079651 0.0925978046721081 0.0844356881508584
sw 0 0.0574221136224801 0.127672571777642 0 0.0219914477703115 0.117287721441662 0.0879657910812462 0.00488698839340257 0.106902871105681 0.119120342089188 0.106291997556506 0.250458155161881
wb 0.000323729362253156 0.0595662026545808 0.12107478148268 0 0.0488831337002266 0.361281968274523 0.0608611201035934 0.00776950469407575 0.0637746843638718 0.0576238264810618 0.103917125283263 0.114923923599871
ww 0.00032599837000815 0.0837815810920945 0.0762021189894052 0 0.0452322738386308 0.134718826405868 0.0706601466992665 0.0118989405052975 0.15158924205379 0.0941320293398533 0.12241238793806 0.209046454767726
