crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.0163934426229508 0.147540983606557 0 0.040983606557377 0.00819672131147541 0.0737704918032787 0.0245901639344262 0.0327868852459016 0.0409836065573776 0.0737704918032787 0.540983606557377
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0110258868648129 0 0.440556088207095 0.183125599232982 0.0062320230105465 0.0992329817833173 0.0297219558964525 0.0627996164908917 0.0297219558964525 0.0570469798657717 0.0805369127516777
ma 0 0.0984496124031008 0 0.363565891472868 0.000775193798449612 0.0937984496124031 0.0201550387596897 0.0387596899224806 0.0255813953488372 0.0922480620155039 0.266666666666667
or 0.00313479623824451 0.0376175548589342 0 0.0188087774294671 0.00940438871473354 0.0877742946708464 0.00940438871473354 0.00626959247648903 0.00626959247648903 0.106583072100314 0.714733542319749
ot 0.00466853408029879 0.241830065359477 0 0.119514472455649 0.0252100840336134 0.277310924369748 0.0709617180205415 0.0644257703081232 0.0326797385620915 0.0774976657329599 0.0859010270774977
po 0 0.107142857142857 0 0.121428571428571 0 0.1 0.0357142857142857 0.0214285714285714 0.0571428571428571 0.135714285714286 0.421428571428572
sb 0.0306859205776169 0.203971119133574 0 0.101083032490975 0.0487364620938628 0.176895306859206 0.0451263537906138 0.148014440433213 0.0884476534296029 0.0776173285198556 0.0794223826714801
sw 0.00793650793650794 0.246031746031746 0 0.103174603174603 0.0238095238095238 0.158730158730159 0.00793650793650794 0.0634920634920635 0.0714285714285714 0.111111111111111 0.206349206349206
wb 0.0238473767885533 0.208267090620032 0 0.149443561208267 0.154213036565978 0.160572337042925 0.041335453100159 0.0556438791732909 0.0206677265500795 0.116057233704293 0.0699523052464222
ww 0.0385245901639344 0.105737704918033 0 0.240983606557377 0.10655737704918 0.0909836065573771 0.0434426229508197 0.0524590163934426 0.040983606557377 0.159016393442623 0.121311475409836
