crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0 0.142857142857143 0 0.285714285714286 0 0.0714285714285714 0 0.0714285714285714 0.0714285714285714 0 0.357142857142857
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0 0 0.716129032258064 0.0645161290322581 0.00645161290322581 0.0967741935483873 0.00645161290322581 0.0258064516129032 0.0129032258064516 0.025806451612903 0.0451612903225807
ma 0 0.130434782608696 0 0.478260869565217 0 0.130434782608696 0 0 0.0434782608695652 0.0869565217391297 0.130434782608696
or 0 0.222222222222222 0 0 0 0.111111111111111 0 0.0555555555555556 0 0.111111111111111 0.5
ot 0 0.235294117647059 0 0.0588235294117647 0.0882352941176471 0.411764705882353 0 0.0588235294117647 0.0588235294117648 0.0588235294117645 0.0294117647058824
po 0 0 0 0 0 0 0 0 0 0 1
sb 0 0.333333333333334 0 0.111111111111111 0.111111111111111 0.222222222222222 0 0.111111111111111 0 0.111111111111111 0
sw 0 0.166666666666667 0 0 0 0.166666666666667 0 0.166666666666666 0 0 0.5
wb 0 0.222222222222223 0 0.0555555555555556 0.333333333333333 0.222222222222222 0 0 0.0555555555555556 0.111111111111111 0
ww 0 0.183673469387755 0 0.0612244897959188 0.224489795918367 0.102040816326531 0 0 0.0408163265306122 0.204081632653061 0.183673469387755
