crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0 0.25 0 0 0 0.375 0 0 0.0625 0.0625 0.25
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.00441826215022091 0 0.787923416789396 0.0765832106038291 0.00883652430044195 0.0397643593519882 0.00294550810014727 0.0265095729013255 0.0191458026509574 0.0176730486008836 0.0162002945508099
ma 0.00746268656716418 0.0820895522388062 0 0.447761194029851 0 0.0671641791044776 0.0149253731343284 0.0149253731343284 0.0223880597014925 0.0746268656716418 0.26865671641791
or 0 0.138888888888889 0 0 0 0.0277777777777778 0 0 0.0277777777777778 0.0833333333333333 0.722222222222222
ot 0.0087719298245614 0.219298245614035 0 0.149122807017544 0.0438596491228071 0.307017543859649 0.0526315789473684 0.043859649122807 0.0789473684210526 0.0350877192982457 0.0614035087719298
po 0 0.125 0 0.1875 0 0.25 0.0625 0 0.0625 0 0.3125
sb 0 0.428571428571429 0 0.119047619047619 0 0.0952380952380952 0 0.0714285714285714 0.0476190476190476 0.166666666666667 0.0714285714285714
sw 0 0.470588235294118 0 0.117647058823529 0.0588235294117647 0.0588235294117647 0 0.117647058823529 0.0588235294117656 0.117647058823529 0
wb 0.0163934426229508 0.131147540983607 0 0.131147540983607 0.131147540983607 0.0983606557377049 0 0.0163934426229492 0.0819672131147541 0.262295081967213 0.131147540983607
ww 0.00847457627118644 0.110169491525424 0 0.161016949152542 0.0932203389830508 0.0847457627118644 0.0169491525423729 0.0254237288135593 0.0423728813559322 0.127118644067797 0.330508474576271
