"crop" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"fb" 0 0.105263157894737 0.157894736842105 0 0.157894736842105 0.105263157894737 0.157894736842105 0.157894736842105 0.105263157894737 0.0526315789473684
"gr" 0.00276243093922652 0.69060773480663 0.0552486187845304 0.00276243093922652 0.0718232044198895 0.0441988950276243 0.0662983425414365 0.0331491712707182 0.00828729281767956 0.0248618784530387
"ma" 0 0.205882352941176 0.323529411764706 0 0.147058823529412 0.0588235294117647 0.0588235294117647 0.0588235294117647 0.0882352941176471 0.0588235294117647
"or" 0 0 0 0 0.111111111111111 0 0.333333333333333 0 0 0.555555555555556
"ot" 0.00526315789473684 0.0789473684210526 0.0947368421052632 0 0.478947368421053 0.0789473684210526 0.0789473684210526 0.0842105263157895 0.0578947368421053 0.0421052631578947
"po" 0 0.0506329113924051 0.164556962025316 0 0.20253164556962 0.0379746835443038 0.215189873417722 0.189873417721519 0.0379746835443038 0.10126582278481
"sb" 0.0168067226890756 0.159663865546218 0.0840336134453782 0 0.176470588235294 0.0756302521008403 0.201680672268908 0.19327731092437 0.0588235294117647 0.0336134453781513
"sw" 0 0.0843373493975904 0.108433734939759 0.0481927710843374 0.240963855421687 0.072289156626506 0.204819277108434 0.132530120481928 0.036144578313253 0.072289156626506
"wb" 0 0.169811320754717 0.0754716981132075 0.0943396226415094 0.0943396226415094 0.0377358490566038 0.188679245283019 0.0754716981132075 0.245283018867925 0.0188679245283019
"ww" 0 0.072289156626506 0.072289156626506 0.0120481927710843 0.132530120481928 0.120481927710843 0.168674698795181 0.0481927710843374 0.120481927710843 0.253012048192771
