"crop" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"fb" 0.0101351351351351 0.10472972972973 0.0777027027027027 0.00675675675675676 0.135135135135135 0.0304054054054054 0.0878378378378378 0.131756756756757 0.0743243243243243 0.341216216216216
"gr" 0.0047071129707113 0.767050209205021 0.0521966527196653 0.00282426778242678 0.0374476987447699 0.0126569037656904 0.0480125523012552 0.0198744769874477 0.0185146443514644 0.0367154811715481
"ma" 0.0067842605156038 0.132971506105834 0.513568521031208 0 0.0841248303934871 0.0230664857530529 0.0447761194029851 0.0488466757123474 0.0237449118046133 0.122116689280868
"or" 0.00591715976331361 0.0453648915187377 0.0236686390532544 0.00986193293885602 0.0473372781065089 0.00986193293885602 0.0591715976331361 0.0986193293885602 0.0848126232741617 0.615384615384615
"ot" 0.00848563968668407 0.185378590078329 0.116187989556136 0.0345953002610966 0.268276762402089 0.0293733681462141 0.0939947780678851 0.0900783289817232 0.0633159268929504 0.110313315926893
"po" 0 0.0810234541577825 0.1727078891258 0 0.162046908315565 0.0533049040511727 0.0916844349680171 0.149253731343284 0.0533049040511727 0.236673773987207
"sb" 0.00583864118895966 0.289808917197452 0.0621019108280255 0.0148619957537155 0.107749469214437 0.0153927813163482 0.230891719745223 0.109341825902335 0.0971337579617834 0.0668789808917197
"sw" 0.00816326530612245 0.194557823129252 0.0680272108843537 0.0149659863945578 0.127891156462585 0.0163265306122449 0.205442176870748 0.131972789115646 0.14421768707483 0.0884353741496599
"wb" 0.0143283582089552 0.179701492537313 0.0447761194029851 0.134925373134328 0.0877611940298507 0.0226865671641791 0.114626865671642 0.0597014925373134 0.238208955223881 0.103283582089552
"ww" 0.0189314261674379 0.105595288178376 0.0774084981068574 0.0681531342027766 0.0702566259991586 0.0370214556163231 0.0971813209928481 0.0673117374842238 0.180058897770299 0.2780816154817
