"crop" "be" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"be" 0.015748031496063 0.0078740157480315 0 0.0551181102362205 0 0.118110236220472 0.015748031496063 0.125984251968504 0.236220472440945 0 0.425196850393701
"fb" 0.0141509433962264 0.0212264150943396 0.0235849056603774 0.0212264150943396 0.0330188679245283 0.0825471698113208 0.0188679245283019 0.0966981132075472 0.10377358490566 0.0636792452830189 0.52122641509434
"gr" 0.00621669626998224 0.00621669626998224 0.663410301953819 0.0301953818827709 0.0115452930728242 0.0568383658969805 0.00710479573712256 0.0337477797513321 0.0399644760213144 0.0346358792184725 0.1101243339254
"ma" 0.0215827338129496 0.0251798561151079 0.172661870503597 0.147482014388489 0.00719424460431655 0.194244604316547 0.039568345323741 0.0683453237410072 0.0827338129496403 0.0323741007194245 0.20863309352518
"or" 0.00116009280742459 0 0.00696055684454756 0.00232018561484919 0.00580046403712297 0.0382830626450116 0.00116009280742459 0.0359628770301624 0.0464037122969838 0.0220417633410673 0.839907192575406
"ot" 0.016973125884017 0.0334747760490335 0.238566713814239 0.0438472418670438 0.0711928335690712 0.14002828854314 0.0183875530410184 0.0485619990570486 0.0693069306930693 0.0664780763790665 0.253182461103253
"po" 0.0167597765363128 0.00558659217877095 0.0111731843575419 0.0279329608938547 0 0.0614525139664804 0 0.0558659217877095 0.111731843575419 0.0223463687150838 0.687150837988827
"sb" 0.0217821782178218 0.0396039603960396 0.0950495049504951 0.0435643564356436 0.138613861386139 0.142574257425743 0.0336633663366337 0.099009900990099 0.0871287128712871 0.164356435643564 0.134653465346535
"sw" 0.0126262626262626 0.0416666666666667 0.029040404040404 0.0202020202020202 0.112373737373737 0.138888888888889 0.0353535353535354 0.107323232323232 0.10479797979798 0.162878787878788 0.234848484848485
"wb" 0.0435294117647059 0.0505882352941176 0.0847058823529412 0.0188235294117647 0.32 0.154117647058824 0.04 0.0541176470588235 0.0435294117647059 0.121176470588235 0.0694117647058824
"ww" 0.0312369845897543 0.0412328196584756 0.0291545189504373 0.0158267388588088 0.131195335276968 0.128279883381924 0.0399833402748855 0.0807996668054977 0.0857975843398584 0.150354019158684 0.266139108704706
