"crop" "be" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"be" 0 0 0 0 0 0 1 0 0 0 0
"fb" 0 0.0588235294117647 0.0588235294117647 0 0 0.0882352941176471 0 0 0.0882352941176471 0 0.705882352941177
"gr" 0 0.0314465408805031 0.679245283018868 0.0125786163522013 0 0.0817610062893082 0.00628930817610063 0.0251572327044025 0.0440251572327044 0.0440251572327044 0.0754716981132075
"ma" 0 0 0.2 0.1 0 0.5 0 0 0.1 0 0.1
"or" 0 0 0.0476190476190476 0 0 0.0476190476190476 0 0 0.0476190476190476 0.0476190476190476 0.80952380952381
"ot" 0 0.0272727272727273 0.381818181818182 0.0363636363636364 0.0181818181818182 0.163636363636364 0.00909090909090909 0.0454545454545455 0.0454545454545455 0.0363636363636364 0.236363636363636
"po" 0 0 0 0 0 0.5 0 0.5 0 0 0
"sb" 0 0.260869565217391 0.130434782608696 0 0.217391304347826 0.130434782608696 0 0.0434782608695652 0.0434782608695652 0.0869565217391304 0.0869565217391304
"sw" 0 0.130434782608696 0.173913043478261 0 0.0434782608695652 0.0869565217391304 0 0 0.0869565217391304 0.260869565217391 0.217391304347826
"wb" 0 0.0810810810810811 0.27027027027027 0 0.243243243243243 0 0 0.162162162162162 0.0540540540540541 0.027027027027027 0.162162162162162
"ww" 0.00694444444444444 0.173611111111111 0.0902777777777778 0.00694444444444444 0.0625 0.104166666666667 0.0347222222222222 0.0416666666666667 0.0694444444444444 0.138888888888889 0.270833333333333
