"crop" "be" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"be" 2.51405233419906e-05 0.0624741956866406 0.177702130034344 0.0375614889551077 0.110633165556491 0.100882576784081 0.00455525161693445 0.0492323978558585 0.0596894412036297 0.0969499836922778 0.300294228091293
"fb" 0 0.0132450331125828 0.0566593083149375 0.00956585724797645 0.013980868285504 0.0382634289919058 0 0.0389992641648271 0.0485651214128035 0.121412803532009 0.659308314937454
"gr" 0 0.0256508422664625 0.67572741194487 0.0327335375191424 0.0160796324655436 0.0446018376722818 0.00133996937212864 0.0315849923430322 0.0266079632465544 0.0403905053598775 0.105283307810107
"ma" 0 0.00433839479392625 0.135574837310195 0.249457700650759 0.00108459869848156 0.0672451193058568 0.00976138828633406 0.0357917570498915 0.0281995661605206 0.0802603036876356 0.388286334056399
"or" 0 0.00315126050420168 0.0168067226890756 0.00472689075630252 0.00210084033613445 0.0246848739495798 0.00105042016806723 0.0189075630252101 0.023109243697479 0.118172268907563 0.787289915966387
"ot" 0.000355871886120996 0.0441281138790036 0.309964412811388 0.0519572953736655 0.0551601423487545 0.121708185053381 0.00320284697508897 0.0540925266903915 0.0480427046263345 0.0836298932384342 0.227758007117438
"po" 0 0.0114942528735632 0.0344827586206897 0.0229885057471264 0.0229885057471264 0.0689655172413793 0.0229885057471264 0.0114942528735632 0.0229885057471264 0.114942528735632 0.666666666666667
"sb" 0 0.0986639260020555 0.135662898252826 0.0328879753340185 0.193216855087359 0.0863309352517986 0.00411099691675231 0.126413155190134 0.140801644398767 0.065775950668037 0.116135662898253
"sw" 0 0.110364683301344 0.0998080614203455 0.0393474088291747 0.138195777351248 0.0882917466410749 0.00575815738963532 0.0978886756238004 0.102687140115163 0.0882917466410749 0.22936660268714
"wb" 0 0.0703043022035677 0.17208814270724 0.0409233997901364 0.279643231899265 0.0708289611752361 0.00472193074501574 0.0503672612801679 0.0771248688352571 0.099685204616999 0.134312696747114
"ww" 0.000162179695102173 0.0986052546221213 0.0731430424910801 0.0575737917612715 0.169964320467078 0.0731430424910801 0.00827116445021083 0.0741161206616932 0.100064871878041 0.135582225105417 0.209373986376906
