"crop" "be" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"be" 0 0.333333333333333 0 0 0 0.333333333333333 0 0 0 0 0.333333333333333
"fb" 0 0.0183006535947712 0.0888888888888889 0.0261437908496732 0.0130718954248366 0.0627450980392157 0 0.0235294117647059 0.0248366013071895 0.120261437908497 0.622222222222222
"gr" 0.000295683027794205 0.0177409816676523 0.715257244234181 0.0399172087522176 0.0174452986398581 0.0603193376700177 0.00384387936132466 0.0221762270845653 0.0221762270845653 0.0310467179183915 0.0697811945594323
"ma" 0 0.00729040097205346 0.179829890643985 0.24179829890644 0.00243013365735115 0.0911300121506683 0.0303766707168894 0.0303766707168894 0.0267314702308627 0.0753341433778858 0.314702308626974
"or" 0 0 0.0211267605633803 0 0.00704225352112676 0.028169014084507 0.00140845070422535 0.0126760563380282 0.00845070422535211 0.101408450704225 0.819718309859155
"ot" 0.00118483412322275 0.0355450236966825 0.356042654028436 0.0687203791469194 0.0456161137440758 0.183649289099526 0.014218009478673 0.0225118483412322 0.0396919431279621 0.0485781990521327 0.184241706161137
"po" 0 0.0260869565217391 0.0695652173913043 0.0608695652173913 0 0.104347826086957 0.0347826086956522 0.0173913043478261 0.0260869565217391 0.0782608695652174 0.582608695652174
"sb" 0.00217864923747277 0.0806100217864924 0.167755991285403 0.0348583877995643 0.20479302832244 0.0958605664488017 0.0108932461873638 0.100217864923747 0.0958605664488017 0.0806100217864924 0.12636165577342
"sw" 0 0.104591836734694 0.170918367346939 0.0561224489795918 0.0892857142857143 0.0994897959183673 0.00255102040816327 0.0994897959183673 0.0688775510204082 0.107142857142857 0.201530612244898
"wb" 0 0.053921568627451 0.21078431372549 0.0931372549019608 0.237745098039216 0.0894607843137255 0.0183823529411765 0.0465686274509804 0.0428921568627451 0.0686274509803922 0.138480392156863
"ww" 0.00094577553593947 0.0961538461538462 0.0936317780580076 0.0649432534678436 0.154161412358134 0.0813366960907945 0.0198612862547289 0.0684110970996217 0.0532786885245902 0.110970996216898 0.256305170239596
