"crop" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"fb" 0.0115606936416185 0.0751445086705202 0.0173410404624277 0.00770712909441233 0.0597302504816956 0 0.0269749518304432 0.0308285163776493 0.154142581888247 0.616570327552986
"gr" 0.0128498503784545 0.62858651645837 0.122689667312093 0.0107375462066538 0.0473508185178666 0.0022883295194508 0.0253476500616089 0.022883295194508 0.0369653230065129 0.0903010033444816
"ma" 0.00360522757999099 0.135196034249662 0.389364578639027 0.00180261378999549 0.0905813429472735 0.00495718792248761 0.0288418206399279 0.0387561964849031 0.067598017124831 0.239296980621902
"or" 0.00378501135503407 0.012112036336109 0.0174110522331567 0.00378501135503407 0.0189250567751703 0.000757002271006813 0.00908402725208176 0.020439061317184 0.13550340651022 0.778198334595004
"ot" 0.0252525252525253 0.234217171717172 0.0946969696969697 0.0650252525252525 0.214015151515152 0.00441919191919192 0.0454545454545455 0.0568181818181818 0.0953282828282828 0.164772727272727
"po" 0 0.18 0.2 0 0.1 0 0.02 0.02 0.1 0.38
"sb" 0.0460251046025105 0.184100418410042 0.0836820083682008 0.157949790794979 0.102510460251046 0.00313807531380753 0.0826359832635983 0.0941422594142259 0.140167364016736 0.105648535564854
"sw" 0.0358744394618834 0.183856502242152 0.0941704035874439 0.0829596412556054 0.130044843049327 0.00672645739910314 0.0582959641255605 0.109865470852018 0.121076233183857 0.177130044843049
"wb" 0.0531034482758621 0.158620689655172 0.0820689655172414 0.328965517241379 0.0896551724137931 0.00689655172413793 0.0468965517241379 0.043448275862069 0.106896551724138 0.083448275862069
"ww" 0.0636484687083888 0.100665778961385 0.122769640479361 0.130758988015979 0.100133155792277 0.00399467376830892 0.0822902796271638 0.0772303595206391 0.162183754993342 0.156324900133156
