"crop" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"fb" 0.00539291217257319 0.0947611710323575 0.0192604006163328 0.00693374422187982 0.073959938366718 0.00231124807395994 0.0377503852080123 0.0385208012326656 0.124036979969183 0.597072419106317
"gr" 0.00780340590644535 0.629575339512826 0.0876913127829274 0.00939857727958612 0.0559172235395559 0.0113817633110584 0.0576848458719552 0.0255227419702522 0.0388876913127829 0.0761370985126105
"ma" 0.00347912524850895 0.105864811133201 0.313618290258449 0.00115970841616965 0.105367793240557 0.0157388999337309 0.0513585155732273 0.0339628893306826 0.0813452617627568 0.288104705102717
"or" 0.00200534759358289 0.0336452762923351 0.0147058823529412 0.00846702317290553 0.0496880570409982 0.00222816399286988 0.0249554367201426 0.0155971479500891 0.112967914438503 0.735739750445633
"ot" 0.0115384615384615 0.212393162393162 0.0965811965811966 0.0423076923076923 0.238034188034188 0.0270655270655271 0.0908831908831909 0.0776353276353276 0.0847578347578348 0.118803418803419
"po" 0.00139082058414465 0.107093184979138 0.0737134909596662 0 0.109874826147427 0.023643949930459 0.0723226703755216 0.0556328233657858 0.1557719054242 0.400556328233658
"sb" 0.0247510251903925 0.174135910954892 0.0616578793204452 0.14879906268307 0.12888107791447 0.0205038078500293 0.169302870533099 0.0859695371997657 0.105155243116579 0.0808435852372583
"sw" 0.0274442538593482 0.148084619782733 0.0686106346483705 0.103487707261292 0.117209834190966 0.0165809033733562 0.138364779874214 0.0834762721555174 0.115494568324757 0.181246426529445
"wb" 0.0193518660727999 0.166333896482875 0.0847796037475042 0.217631700199662 0.121333128551682 0.0215020734142221 0.104131469820304 0.0420826293964061 0.140377822147136 0.082475810167409
"ww" 0.0358325057927838 0.0930155577623304 0.107083747103608 0.0912777226084078 0.0789473684210526 0.019364448857994 0.14812975835816 0.0725753061900033 0.187024164184045 0.166749420721615
