"crop" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"fb" 0 0.142857142857143 0.285714285714286 0 0.0714285714285714 0 0.0714285714285714 0.0714285714285714 0 0.357142857142857
"gr" 0 0.778894472361809 0.050251256281407 0.0050251256281407 0.0753768844221105 0.0050251256281407 0.0201005025125628 0.0100502512562814 0.0201005025125628 0.0351758793969849
"ma" 0 0.130434782608696 0.478260869565217 0 0.130434782608696 0 0 0.0434782608695652 0.0869565217391304 0.130434782608696
"or" 0 0.222222222222222 0 0 0.111111111111111 0 0.0555555555555556 0 0.111111111111111 0.5
"ot" 0 0.235294117647059 0.0588235294117647 0.0882352941176471 0.411764705882353 0 0.0588235294117647 0.0588235294117647 0.0588235294117647 0.0294117647058824
"po" 0 0 0 0 0 0 0 0 0 1
"sb" 0 0.333333333333333 0.111111111111111 0.111111111111111 0.222222222222222 0 0.111111111111111 0 0.111111111111111 0
"sw" 0 0.166666666666667 0 0 0.166666666666667 0 0.166666666666667 0 0 0.5
"wb" 0 0.222222222222222 0.0555555555555556 0.333333333333333 0.222222222222222 0 0 0.0555555555555556 0.111111111111111 0
"ww" 0 0.183673469387755 0.0612244897959184 0.224489795918367 0.102040816326531 0 0 0.0408163265306122 0.204081632653061 0.183673469387755
