"crop" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"fb" 0 0.25 0 0 0.375 0 0 0.0625 0.0625 0.25
"gr" 0.00364520048602673 0.825030376670717 0.06318347509113 0.00729040097205346 0.0328068043742406 0.00243013365735115 0.0218712029161604 0.0157958687727825 0.0145808019441069 0.0133657351154313
"ma" 0.00746268656716418 0.082089552238806 0.447761194029851 0 0.0671641791044776 0.0149253731343284 0.0149253731343284 0.0223880597014925 0.0746268656716418 0.26865671641791
"or" 0 0.138888888888889 0 0 0.0277777777777778 0 0 0.0277777777777778 0.0833333333333333 0.722222222222222
"ot" 0.0087719298245614 0.219298245614035 0.149122807017544 0.043859649122807 0.307017543859649 0.0526315789473684 0.043859649122807 0.0789473684210526 0.0350877192982456 0.0614035087719298
"po" 0 0.125 0.1875 0 0.25 0.0625 0 0.0625 0 0.3125
"sb" 0 0.428571428571429 0.119047619047619 0 0.0952380952380952 0 0.0714285714285714 0.0476190476190476 0.166666666666667 0.0714285714285714
"sw" 0 0.470588235294118 0.117647058823529 0.0588235294117647 0.0588235294117647 0 0.117647058823529 0.0588235294117647 0.117647058823529 0
"wb" 0.0163934426229508 0.131147540983607 0.131147540983607 0.131147540983607 0.0983606557377049 0 0.0163934426229508 0.0819672131147541 0.262295081967213 0.131147540983607
"ww" 0.00847457627118644 0.110169491525424 0.161016949152542 0.0932203389830508 0.0847457627118644 0.0169491525423729 0.0254237288135593 0.0423728813559322 0.127118644067797 0.330508474576271
