"crop" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"fb" 0 0.181818181818182 0 0 0.0909090909090909 0.0909090909090909 0.0909090909090909 0.0909090909090909 0 0.454545454545455
"gr" 0.000427899015832264 0.935387248609328 0.000855798031664527 0.00213949507916132 0.0106974753958066 0.000427899015832264 0.0342319212665811 0.0124090714591356 0.00171159606332905 0.00171159606332905
"ma" 0.111111111111111 0.666666666666667 0 0 0 0 0.222222222222222 0 0 0
"or" 0 0.333333333333333 0 0 0.133333333333333 0 0.0666666666666667 0 0.266666666666667 0.2
"ot" 0.00769230769230769 0.507692307692308 0.0384615384615385 0.0461538461538462 0.169230769230769 0 0.2 0.0230769230769231 0.00769230769230769 0
"po" 0 0.25 0 0 0 0 0.5 0 0 0.25
"sb" 0 0.453703703703704 0 0 0.0833333333333333 0 0.328703703703704 0.101851851851852 0.0231481481481481 0.00925925925925926
"sw" 0 0.286821705426357 0.0232558139534884 0 0.0852713178294574 0 0.410852713178295 0.147286821705426 0.0232558139534884 0.0232558139534884
"wb" 0 0.546875 0 0.03125 0.140625 0 0.0625 0.015625 0.125 0.078125
"ww" 0 0.153846153846154 0 0.0512820512820513 0.0769230769230769 0 0.179487179487179 0.102564102564103 0.230769230769231 0.205128205128205
