"crop" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"fb" 0 0.121311475409836 0.0327868852459016 0.0229508196721311 0.0622950819672131 0.039344262295082 0.20655737704918 0.0983606557377049 0.0426229508196721 0.373770491803279
"gr" 0.00513505186402383 0.572660983875937 0.0187942898223272 0.00852418609427955 0.0638800451884564 0.0177672794495224 0.190715826229845 0.0803122111533326 0.0130430317346205 0.0291670945876553
"ma" 0 0.292604501607717 0.12540192926045 0.0192926045016077 0.0932475884244373 0.0321543408360129 0.247588424437299 0.067524115755627 0.0160771704180064 0.106109324758842
"or" 0.000733137829912023 0.0197947214076246 0.00513196480938416 0.0102639296187683 0.0227272727272727 0.00439882697947214 0.11950146627566 0.0762463343108504 0.0483870967741935 0.692815249266862
"ot" 0.00471063257065949 0.190444145356662 0.0386944818304172 0.0397039030955585 0.167227456258412 0.0309555854643338 0.24764468371467 0.128196500672948 0.0403768506056528 0.112045760430686
"po" 0.00204498977505112 0.0644171779141104 0.016359918200409 0.00102249488752556 0.0613496932515337 0.00613496932515337 0.286298568507157 0.133946830265849 0.032719836400818 0.395705521472393
"sb" 0.0050278326449991 0.212964625606033 0.0201113305799964 0.0244209014185671 0.0734422697073083 0.0310648231280302 0.407793140599749 0.115640150834979 0.0517148500628479 0.0578200754174897
"sw" 0.00664170993841324 0.104818258664413 0.0165438956647748 0.0175099625649076 0.0782514189107596 0.039367226180413 0.368313005675643 0.241516725033209 0.056756430382804 0.0702813669846637
"wb" 0.00411311053984576 0.108997429305913 0.0159383033419023 0.366066838046272 0.0570694087403599 0.0272493573264781 0.113110539845758 0.0447300771208226 0.175835475578406 0.0868894601542416
"ww" 0.0116555661274976 0.0475737392959087 0.021883920076118 0.0501902949571836 0.0732635585156993 0.0554234062797336 0.218125594671741 0.157231208372978 0.107040913415794 0.257611798287345
