"crop" "fb" "gr" "ma" "or" "ot" "po" "sb" "sw" "wb" "ww"
"fb" 0.0115740740740741 0.125 0.0300925925925926 0.0277777777777778 0.0648148148148148 0.0208333333333333 0.210648148148148 0.0810185185185185 0.0555555555555556 0.372685185185185
"gr" 0.00286387068032839 0.656526443072615 0.014319353401642 0.00719149748615796 0.047985744288169 0.0163558836632088 0.165404442181633 0.049894991408388 0.0136829376949023 0.0257748361229555
"ma" 0.0117994100294985 0.297935103244838 0.0648967551622419 0.0471976401179941 0.12094395280236 0.0412979351032448 0.200589970501475 0.0825958702064897 0.0117994100294985 0.12094395280236
"or" 0.00113378684807256 0.0158730158730159 0.00850340136054422 0.0107709750566893 0.0328798185941043 0.0119047619047619 0.145124716553288 0.0436507936507936 0.0623582766439909 0.667800453514739
"ot" 0.0062672348959639 0.238154926046628 0.0323389320631737 0.0451240912509401 0.156931561794936 0.0265730759588869 0.241915266984207 0.102281273502131 0.0381047881674605 0.112308849335673
"po" 0.000620732464307883 0.0502793296089385 0.0198634388578523 0.00186219739292365 0.0540037243947858 0.0111731843575419 0.333333333333333 0.147113594040968 0.0397268777157045 0.342023587833644
"sb" 0.00649953574744661 0.218463987266216 0.0254675686430561 0.0238758456028651 0.0741477649555644 0.0359464119909802 0.40244064199496 0.10266613609232 0.0546491577132246 0.0558429499933678
"sw" 0.00793814432989691 0.107422680412371 0.0176288659793814 0.0198969072164948 0.084639175257732 0.0644329896907216 0.370412371134021 0.183298969072165 0.0729896907216495 0.071340206185567
"wb" 0.00498338870431894 0.170764119601329 0.0122923588039867 0.303654485049834 0.0677740863787375 0.0269102990033223 0.13156146179402 0.0408637873754153 0.169102990033223 0.072093023255814
"ww" 0.00959575336872193 0.0549203756635361 0.0206206614944875 0.0502245814618211 0.0712535728868926 0.0667619436504696 0.257247856267864 0.133523887300939 0.13883217639853 0.197019191506737
