crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0 0 0 0 0 0 0 0 0 0 1
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0 0 0.727272727272728 0 0 0.136363636363636 0 0.0909090909090908 0 0 0.0454545454545454
ma 0.0223548879498397 0.224723574127136 0 0.00402538896739736 0.120688572461364 0.22877299484047 0.0158453602923748 0.061902988133038 0.0946124830901621 0.022613229218655 0.204460520919563
or 0 0 0 0.0625 0 0.0625 0 0.0625 0.0625 0 0.75
ot 0.0833333333333333 0.5 0 0 0.0416666666666667 0.125 0 0 0.0833333333333333 0.0416666666666667 0.125
po 0.0223548879498389 0.224723574127136 0 0.00402538896739736 0.120688572461364 0.22877299484047 0.0158453602923748 0.061902988133038 0.0946124830901621 0.0226132292186558 0.204460520919563
sb 0 0.166666666666667 0 0 0.833333333333333 0 0 0 0 0 0
sw 0 0 0 0 0.5 0.2 0 0 0.1 0 0.2
wb 0 0 0 0 1 0 0 0 0 0 0
ww 0 0.0476190476190476 0 0 0.333333333333333 0.0476190476190476 0.0476190476190476 0.0952380952380952 0 0.0952380952380952 0.333333333333334
