crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0 0.0888888888888889 0 0.0444444444444444 0.0166666666666667 0.0833333333333333 0 0.05 0.0333333333333333 0.0833333333333335 0.6
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0364321608040202 0 0.307788944723618 0.0163316582914573 0.0464824120603015 0.0917085427135679 0.00753768844221106 0.136934673366834 0.0464824120603015 0.064070351758794 0.246231155778895
ma 0.0493827160493827 0.271604938271604 0 0.160493827160494 0 0.0987654320987654 0 0.123456790123457 0.0617283950617284 0.0246913580246914 0.209876543209877
or 0 0.0190023752969121 0 0.00118764845605701 0 0.0154394299287411 0.00237529691211401 0.0427553444180523 0.0118764845605701 0.0178147268408551 0.889548693586698
ot 0.0264650283553875 0.217391304347826 0 0.0132325141776938 0.100189035916824 0.113421550094518 0.00378071833648393 0.0831758034026468 0.0472589792060491 0.132325141776938 0.262759924385633
po 0 0.0188679245283019 0 0 0 0.0377358490566038 0.0188679245283019 0.0566037735849057 0.0188679245283019 0.0188679245283019 0.830188679245283
sb 0.0182648401826477 0.182648401826484 0 0.0228310502283105 0.0593607305936073 0.0707762557077626 0.0136986301369863 0.164383561643836 0.0205479452054795 0.194063926940639 0.253424657534247
sw 0.0481651376146789 0.0596330275229358 0 0.00917431192660462 0.0779816513761468 0.0756880733944954 0.0137614678899084 0.13302752293578 0.055045871559633 0.295871559633028 0.231651376146789
wb 0.017921146953405 0.0770609318996416 0 0.0116487455197133 0.473118279569892 0.0492831541218638 0.00896057347670251 0.0537634408602151 0.0340501792114695 0.166666666666667 0.10752688172043
ww 0.0295295295295295 0.0425425425425425 0 0.0165165165165165 0.0995995995995996 0.0455455455455455 0.0155155155155155 0.0920920920920921 0.035035035035035 0.268768768768769 0.354854854854855
