crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.0174520069808028 0.0811518324607334 0 0.0113438045375218 0.0157068062827225 0.0462478184991274 0.00523560209424084 0.109075043630017 0.0340314136125654 0.0610820244328098 0.618673647469459
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0392156862745098 0 0.423124805477747 0.020385932150638 0.0287892934951759 0.086212262682851 0.00684718331777156 0.100529100529101 0.0297230003112356 0.066604419545596 0.198568316215375
ma 0.02 0.368571428571429 0 0.0285714285714286 0.00285714285714286 0.117142857142857 0 0.142857142857143 0.0371428571428571 0.02 0.262857142857143
or 0.00102124183006536 0.00939542483660131 0 0.00265522875816993 0.000204248366013072 0.00898692810457527 0.000612745098039216 0.0322712418300654 0.0120506535947712 0.0206290849673203 0.912173202614379
ot 0.0236453201970443 0.183251231527094 0 0.0144499178981938 0.106075533661741 0.130049261083744 0.00328407224958949 0.0889983579638752 0.0236453201970443 0.129064039408866 0.297536945812808
po 0 0.0622950819672131 0 0.00655737704918033 0 0.0327868852459016 0.00327868852458994 0.0622950819672131 0.00983606557377049 0.00983606557377049 0.813114754098361
sb 0.0242673992673993 0.172619047619048 0 0.0297619047619048 0.0892857142857143 0.0787545787545788 0.00686813186813187 0.176282051282051 0.0586080586080586 0.156135531135531 0.207417582417582
sw 0.0682027649769585 0.0723502304147465 0 0.00921658986175115 0.0608294930875576 0.0668202764976959 0.00783410138248848 0.171889400921659 0.0566820276497698 0.236405529953917 0.249769585253456
wb 0.0219987429289755 0.085166561910748 0 0.00911376492771842 0.490100565681961 0.0469830295411691 0.00502828409805154 0.0458830923947203 0.0180703959773727 0.154305468258957 0.123350094280327
ww 0.0344155844155844 0.0357954545454545 0 0.0102272727272727 0.0845779220779221 0.0561688311688312 0.0124188311688312 0.0836850649350653 0.0295454545454545 0.269074675324675 0.384090909090909
