crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.014344262295082 0.0819672131147541 0 0.0942622950819672 0.0204918032786885 0.159836065573771 0.0573770491803279 0.0983606557377042 0.135245901639344 0.0819672131147541 0.256147540983607
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.00994927818962153 0 0.435817401482638 0.134802965275068 0.00643776824034334 0.104369879047991 0.0489660554038236 0.0834959032383924 0.0472103004291847 0.0435037065938353 0.0854467420991026
ma 0.0107579462102689 0.0982885085574572 0 0.527628361858191 0 0.0929095354523227 0.0317848410757946 0.0415647921760391 0.0469437652811732 0.0288508557457213 0.121271393643032
or 0 0.0443213296398892 0 0.0249307479224377 0.00554016620498615 0.0512465373961221 0.0263157894736842 0.0498614958448753 0.074792243767313 0.0886426592797784 0.634349030470914
ot 0.0104058272632674 0.122788761706556 0 0.12556364897676 0.0201179327089837 0.36420395421436 0.0607006590357267 0.0693721817551158 0.105445716267777 0.0443981963232744 0.077003121748179
po 0.00323624595469256 0.0744336569579295 0 0.140776699029126 0.000809061488673139 0.186893203883495 0.0671521035598705 0.106796116504854 0.18042071197411 0.0420711974110032 0.197411003236246
sb 0.0113207547169812 0.222102425876011 0 0.0749326145552561 0.0280323450134771 0.127762803234501 0.044743935309973 0.208086253369272 0.107816711590297 0.0975741239892183 0.0776280323450135
sw 0.00747663551401869 0.154205607476636 0 0.081308411214954 0.0233644859813084 0.167289719626168 0.0682242990654206 0.14018691588785 0.153271028037383 0.106542056074766 0.0981308411214953
wb 0.0173708920187794 0.152582159624413 0 0.0596244131455399 0.136619718309859 0.092018779342723 0.0516431924882629 0.0892018779342723 0.0497652582159624 0.248826291079812 0.102347417840376
ww 0.0148771021992234 0.091849935316947 0 0.0818240620957309 0.0611254851228978 0.0905562742561449 0.0569210866752911 0.0679172056921087 0.0695342820181113 0.196959896507115 0.26843467011643
