crop fb gr1 gr2 ma or ot po sb sw wb ww
fb 0.0217391304347826 0.0905797101449275 0 0.072463768115942 0.0253623188405797 0.146739130434783 0.0271739130434783 0.0923913043478261 0.103260869565217 0.0634057971014497 0.356884057971014
gr1 0 0 1 0 0 0 0 0 0 0 0
gr2 0.00590153750582389 0 0.711678832116789 0.0569187762074856 0.00380493865507066 0.0517937567945333 0.0117254232023606 0.0668582077962411 0.0271004814412174 0.0215095511725424 0.042708495107936
ma 0.00585417775412453 0.163916977115487 0 0.460883448642895 0.00266098988823842 0.0888770622671634 0.0276742948376796 0.05747738158595 0.0542841937200639 0.0212879191059074 0.117083555082491
or 0.006265664160401 0.0538847117794486 0 0.0263157894736842 0.0100250626566416 0.0714285714285714 0.006265664160401 0.0601503759398496 0.0827067669172932 0.0839598997493734 0.598997493734336
ot 0.0125138019874862 0.167464114832536 0 0.097165991902834 0.0327567169672424 0.298859035701141 0.04158998895841 0.105631210894369 0.0916451969083548 0.0522635259477365 0.10011041589989
po 0.00128700128700129 0.0630630630630631 0 0.18018018018018 0.00128700128700129 0.146718146718147 0.0411840411840412 0.146718146718147 0.176319176319176 0.0514800514800515 0.191763191763192
sb 0.00789242911429407 0.268634902075417 0 0.073370359543993 0.0143232972814966 0.100263080970476 0.019584916691026 0.238526746565332 0.108740134463607 0.0970476468868752 0.0716164864074832
sw 0.00939702427564649 0.180892717306186 0 0.0728269381362568 0.0156617071260767 0.142521534847298 0.0195771339075959 0.220830070477682 0.126076742364918 0.125293657008614 0.0869224745497259
wb 0.0140532544378698 0.182322485207101 0 0.0406804733727811 0.112426035502959 0.0917159763313605 0.0232988165680473 0.129807692307692 0.0673076923076923 0.232618343195266 0.105769230769231
ww 0.0198692810457516 0.114509803921569 0 0.0713725490196078 0.0614379084967311 0.0711111111111111 0.0392156862745098 0.111633986928105 0.0823529411764706 0.160261437908497 0.268235294117647
