crop be fb gr1 gr2 ma or ot po sb sw wb ww
be 0.0202020202020202 0.0151515151515152 0 0 0.0404040404040411 0 0.126262626262626 0.0555555555555556 0.136363636363636 0.227272727272727 0.00505050505050505 0.373737373737374
fb 0.0144508670520231 0.0130057803468208 0.023121387283237 0 0.0274566473988439 0.0447976878612717 0.0780346820809249 0.0115606936416185 0.0794797687861272 0.117052023121387 0.0722543352601159 0.51878612716763
gr1 0 0 0 1 0 0 0 0 0 0 0 0
gr2 0.0122249388753056 0.0122249388753056 0 0.503667481662593 0.0334148329258355 0.0146699266503667 0.0757946210268948 0.0179299103504482 0.0594947025264873 0.0619396903015485 0.0497147514262428 0.158924205378972
ma 0.0264765784114053 0.0122199592668024 0.15071283095723 0 0.140529531568228 0.00814663951120163 0.158859470468432 0.0468431771894094 0.0733197556008147 0.109979633401222 0.0305498981670061 0.242362525458248
or 0.00135869565217391 0.00135869565217391 0.00679347826086913 0 0.00271739130434783 0.000679347826086957 0.0373641304347826 0.000679347826086957 0.0427989130434783 0.0380434782608696 0.0339673913043478 0.834239130434783
ot 0.0154946364719905 0.0247318235995232 0.252085816448153 0 0.0452920143027414 0.0718116805721097 0.122765196662694 0.0190703218116806 0.0458879618593564 0.0744934445768772 0.0718116805721097 0.256555423122764
po 0.0125786163522013 0.00628930817610063 0.00943396226415094 0 0.0125786163522011 0 0.0817610062893082 0.00314465408805031 0.0754716981132075 0.0817610062893082 0.0283018867924528 0.688679245283019
sb 0.0283018867924528 0.0424528301886792 0.109669811320756 0 0.0389150943396226 0.147405660377358 0.141509433962264 0.0294811320754717 0.0872641509433962 0.080188679245283 0.139150943396226 0.155660377358491
sw 0.015884476534296 0.0490974729241877 0.0368231046931412 0 0.0202166064981949 0.104693140794224 0.139350180505415 0.0397111913357401 0.0953068592057762 0.102527075812274 0.151624548736462 0.244765342960289
wb 0.035739313244569 0.0378416257883672 0.0967063770147162 0 0.02312543798178 0.33426769446391 0.13875262789068 0.0280308339173094 0.0574632095304835 0.0560616678346181 0.117028731604765 0.0749824807288017
ww 0.0298170884490103 0.0405913304936106 0.0273114507642195 0 0.0182911550989727 0.128038085692809 0.128038085692808 0.0468554247055876 0.0816837885241794 0.0824354798296166 0.157855174141819 0.259082936607367
